,0.12,cp
0.986,0.049904031,2%
0.936,0.001919386,2%
0.881,-0.041266795,2%
0.825,-0.108445298,2%
0.75,-0.190019194,2%
0.625,-0.348368522,2%
0.45,-0.631477927,2%
0.25,-1.197696737,2%
0.1,-2.358925144,2%
0.05,-2.86756238,2%
0.024,-3.616122841,2%
0,-2.349328215,2%
0.024,0.947216891,2%
0.05,0.894433781,2%
0.1,0.72168906,2%
0.25,0.395393474,2%
0.45,0.203454894,2%
0.625,0.121880998,2%
0.75,0.097888676,2%
0.825,0.078694818,2%
0.881,0.05950096,2%
0.936,0.054702495,2%
0.986,0.040307102,2%
