,1.20E-01
0.986,0.11299435
0.936,0.036723164
0.881,-0.059322034
0.825,-0.098870056
0.75,-0.172316384
0.625,-0.262711864
0.45,-0.401129944
0.25,-0.649717514
0.1,-1.02259887
0.05,-0.903954802
0.024,-0.677966102
0,0.951977401
0.024,0.211864407
0.05,0.152542373
0.1,0.101694915
0.25,-0.101694915
0.45,-0.129943503
0.625,-0.110169492
0.75,-0.059322034
0.825,-0.042372881
0.881,-0.005649718
0.936,0.036723164
0.986,0.115819209
