,6.00E-02
0.944375773,-0.889387145
0.911001236,-0.889387145
0.875154512,-0.907324365
0.838071693,-0.919282511
0.799752781,-0.937219731
0.762669963,-0.961136024
0.726823239,-0.985052317
0.671199011,-1.020926756
0.600741656,-1.044843049
0.524103832,-1.074738416
0.478368356,-1.086696562
0.446229913,-1.092675635
0.410383189,-1.104633782
0.367119901,-1.122571001
0.337453646,-1.122571001
0.309023486,-1.122571001
0.279357231,-1.128550075
0.248454883,-1.134529148
0.218788628,-1.116591928
0.191594561,-1.128550075
0.088998764,-1.116591928
0.075401731,-1.110612855
0.065512979,-1.098654709
0.055624227,-1.092675635
0.04697157,-1.086696562
0.039555006,-1.086696562
0.030902349,-1.086696562
0.019777503,-1.092675635
0.011124845,-1.092675635
0.016069221,0.904334828
0.025957973,0.862481315
0.032138443,0.802690583
0.061804697,0.647234679
0.082818294,0.581464873
0.112484549,0.509715994
0.208899876,0.33632287
0.264524104,0.270553064
0.320148331,0.186846039
0.39184178,0.127055306
0.504326329,0.007473842
0.616810878,-0.064275037
0.728059333,-0.076233184
0.855377009,-0.076233184
0.928306551,-0.094170404
