,0.320,0.420,0.520,0.540,0.570,0.600,0.620,0.650,0.680,0.710,0.740,0.760,0.790
0.000,-4.260,-3.070,-1.600,-1.340,-1.030,-0.740,-0.530,-0.380,-0.110,0.090,0.260,0.410,0.560
0.005,-5.270,-4.690,-3.110,-2.830,-2.460,-2.130,-1.890,-1.630,-1.450,-1.160,-0.940,-0.740,-0.550
0.013,-4.670,-4.230,-3.290,-3.120,-2.790,-2.400,-2.150,-1.930,-1.760,-1.530,-1.280,-1.060,-0.820
0.025,-3.060,-3.800,-3.110,-2.880,-2.620,-2.310,-2.100,-1.900,-1.770,-1.600,-1.390,-1.200,-1.020
0.075,-2.030,-2.000,-2.230,-2.360,-2.280,-2.080,-1.940,-1.800,-1.730,-1.660,-1.570,-1.460,-1.320
0.100,-1.760,-1.730,-1.910,-1.950,-1.930,-1.890,-1.830,-1.730,-1.660,-1.610,-1.540,-1.440,-1.330
0.150,-1.500,-1.450,-1.590,-1.600,-1.590,-1.590,-1.620,-1.560,-1.540,-1.630,-1.490,-1.400,-1.300
0.200,-1.310,-1.250,-1.300,-1.330,-1.330,-1.310,-1.380,-1.360,-1.370,-1.380,-1.380,-1.310,-1.250
0.250,-1.190,-1.130,-1.120,-1.150,-1.150,-1.120,-1.170,-1.190,-1.190,-1.210,-1.240,-1.210,-1.190
0.300,-1.100,-1.040,-0.990,-1.010,-1.010,-0.990,-1.030,-1.040,-1.050,-1.070,-1.080,-1.080,-1.090
0.350,-1.020,-0.950,-0.890,-0.890,-0.890,-0.890,-0.910,-0.930,-0.940,-0.940,-0.930,-0.920,-0.950
0.400,-0.930,-0.850,-0.790,-0.780,-0.790,-0.800,-0.830,-0.850,-0.850,-0.870,-0.850,-0.840,-0.870
0.450,-0.860,-0.780,-0.700,-0.700,-0.700,-0.720,-0.750,-0.780,-0.790,-0.810,-0.800,-0.790,-0.800
0.500,-0.760,-0.670,-0.600,-0.600,-0.610,-0.650,-0.690,-0.720,-0.730,-0.760,-0.750,-0.750,-0.760
0.550,-0.670,-0.580,-0.530,-0.530,-0.540,-0.580,-0.630,-0.670,-0.690,-0.720,-0.710,-0.720,-0.750
0.600,-0.560,-0.480,-0.450,-0.460,-0.480,-0.530,-0.570,-0.620,-0.640,-0.680,-0.680,-0.690,-0.730
0.650,-0.460,-0.390,-0.380,-0.400,-0.420,-0.470,-0.520,-0.570,-0.600,-0.650,-0.650,-0.670,-0.710
0.700,-0.390,-0.320,-0.340,-0.350,-0.390,-0.430,-0.490,-0.540,-0.570,-0.610,-0.630,-0.650,-0.700
0.750,-0.320,-0.250,-0.290,-0.310,-0.350,-0.390,-0.450,-0.500,-0.540,-0.590,-0.600,-0.630,-0.690
0.800,-0.240,-0.200,-0.250,-0.280,-0.310,-0.360,-0.410,-0.470,-0.510,-0.560,-0.570,-0.610,-0.680
0.850,-0.180,-0.160,-0.220,-0.250,-0.290,-0.330,-0.380,-0.440,-0.470,-0.530,-0.550,-0.590,-0.670
0.900,-0.110,-0.150,-0.220,-0.240,-0.280,-0.320,-0.360,-0.430,-0.460,-0.490,-0.510,-0.560,-0.640
0.950,-0.090,-0.130,-0.190,-0.220,-0.250,-0.290,-0.330,-0.390,-0.420,-0.460,-0.480,-0.530,-0.610
