xc,yb,surf,section,cp
0.55,0.775,L,4,-0.2066
0.575,0.775,L,4,-0.1917
0.6,0.775,L,4,-0.1689
0.65,0.775,L,4,-0.1373
0.7,0.775,L,4,-0.1052
0.8,0.775,L,4,-0.0383
0.9,0.775,L,4,0.0363
0.6,0.8,U,5,-0.1734
0.55,0.8,U,5,-0.2115
0.525,0.8,U,5,-0.2276
0.5,0.8,U,5,-0.248
0.475,0.8,U,5,-0.2692
0.45,0.8,U,5,-0.295
0.425,0.8,U,5,-0.3229
0.4,0.8,U,5,-0.3418
0.375,0.8,U,5,-0.3698
0.35,0.8,U,5,-0.395
0.35,0.8,L,5,-0.3466
0.375,0.8,L,5,-0.3293
0.4,0.8,L,5,-0.3054
0.425,0.8,L,5,-0.2943
0.45,0.8,L,5,-0.2684
0.475,0.8,L,5,-0.2483
0.5,0.8,L,5,-0.2287
0.525,0.8,L,5,-0.2129
0.55,0.8,L,5,-0.2003
0.6,0.8,L,5,-0.164
0.6,0.9,U,6,-0.1495
0.55,0.9,U,6,-0.186
0.5,0.9,U,6,-0.217
0.45,0.9,U,6,-0.2564
0.4,0.9,U,6,-0.3036
0.375,0.9,U,6,-0.3224
0.35,0.9,U,6,-0.3445
0.325,0.9,U,6,-0.3709
0.3,0.9,U,6,-0.3883
0.25,0.9,U,6,-0.4349
0.25,0.9,L,6,-0.3765
0.3,0.9,L,6,-0.3453
0.325,0.9,L,6,-0.3312
0.35,0.9,L,6,-0.3092
0.375,0.9,L,6,-0.2929
0.4,0.9,L,6,-0.2766
0.45,0.9,L,6,-0.2364
0.5,0.9,L,6,-0.2018
0.55,0.9,L,6,-0.1761
0.6,0.9,L,6,-0.1433
