xc,yb,surf,section,cp,,,,,,,,,,,,,,,
0.575,0.775,U,4,-0.173,,,,,,,,,,,,0.25,,,0
0.55,0.775,U,4,-0.1852,,,,,,,,,,,,0.3,,,0
0.525,0.775,U,4,-0.1987,,,,,,,,,,,,0.325,,,0
0.5,0.775,U,4,-0.2081,,,,,,,,,,,,0.35,,,-0.301
0.475,0.775,U,4,-0.2266,,,,,,,,,,,,0.375,,,-0.2873
0.45,0.775,U,4,-0.2434,,,,,,,,,,,,0.4,,,-0.2656
0.425,0.775,U,4,-0.2575,,,,,,,,,,,,0.425,,,-0.2596
0.4,0.775,U,4,-0.2765,,,,,,,,,,,,0.45,,,-0.2358
0.375,0.775,U,4,-0.2931,,,,,,,,,,,,0.475,,,-0.2167
0.35,0.775,U,4,-0.309,,,,,,,,,,,,0.5,,,-0.2038
0.325,0.775,U,4,-0.3206,,,,,,,,,,,,0.525,,,-0.1865
0.3,0.775,U,4,-0.3346,,,,,,,,,,,,0.55,,,-0.1786
0.25,0.775,U,4,-0.3587,,,,,,,,,,,,0.575,,,0
0.2,0.775,U,4,-0.3826,,,,,,,,,,,,0.6,,,-0.1493
0.15,0.775,U,4,-0.4081,,,,,,,,,,,,0.625,,,0
0.1,0.775,U,4,-0.4017,,,,,,,,,,,,0.65,,,0
0.05,0.775,U,4,-0.3012,,,,,,,,,,,,0.675,,,0
0.025,0.775,U,4,-0.1088,,,,,,,,,,,,0.7,,,0
0.0125,0.775,U,4,0.2215,,,,,,,,,,,,0.8,,,0
0,0.775,U,4,0.9153,,,,,,,,,,,,0.9,,,0
0.0125,0.775,L,4,0.2215,,,,,,,,,,,,,,,
0.025,0.775,L,4,-0.1088,,,,,,,,,,,,,,,
0.05,0.775,L,4,-0.3012,,,,,,,,,,,,,,,
0.1,0.775,L,4,-0.4017,,,,,,,,,,,,,,,
0.15,0.775,L,4,-0.4081,,,,,,,,,,,,,,,
0.2,0.775,L,4,-0.3826,,,,,,,,,,,,,,,
0.25,0.775,L,4,-0.3587,,,,,,,,,,,,,,,
0.3,0.775,L,4,-0.3346,,,,,,,,,,,,,,,
0.325,0.775,L,4,-0.3206,,,,,,,,,,,,,,,
0.35,0.775,L,4,-0.309,,,,,,,,,,,,,,,
0.375,0.775,L,4,-0.2931,,,,,,,,,,,,,,,
0.4,0.775,L,4,-0.2765,,,,,,,,,,,,,,,
0.425,0.775,L,4,-0.2575,,,,,,,,,,,,,,,
0.45,0.775,L,4,-0.2434,,,,,,,,,,,,,,,
0.475,0.775,L,4,-0.2266,,,,,,,,,,,,,,,
0.5,0.775,L,4,-0.2081,,,,,,,,,,,,,,,
0.525,0.775,L,4,-0.1987,,,,,,,,,,,,,,,
0.55,0.775,L,4,-0.1852,,,,,,,,,,,,,,,
0.575,0.775,L,4,-0.173,,,,,,,,,,,,,,,
0.6,0.775,L,4,-0.1524,,,,,,,,,,,,,,,
0.65,0.775,L,4,-0.1259,,,,,,,,,,,,,,,
0.7,0.775,L,4,-0.0982,,,,,,,,,,,,,,,
0.8,0.775,L,4,-0.0385,,,,,,,,,,,,,,,
0.9,0.775,L,4,0.0291,,,,,,,,,,,,,,,
0.6,0.8,U,5,-0.1493,,,,,,,,,,,,,,,
0.55,0.8,U,5,-0.1786,,,,,,,,,,,,,,,
0.525,0.8,U,5,-0.1865,,,,,,,,,,,,,,,
0.5,0.8,U,5,-0.2038,,,,,,,,,,,,,,,
0.475,0.8,U,5,-0.2167,,,,,,,,,,,,,,,
0.45,0.8,U,5,-0.2358,,,,,,,,,,,,,,,
0.425,0.8,U,5,-0.2596,,,,,,,,,,,,,,,
0.4,0.8,U,5,-0.2656,,,,,,,,,,,,,,,
0.375,0.8,U,5,-0.2873,,,,,,,,,,,,,,,
0.35,0.8,U,5,-0.301,,,,,,,,,,,,,,,
0.35,0.8,L,5,-0.301,,,,,,,,,,,,,,,
0.375,0.8,L,5,-0.2873,,,,,,,,,,,,,,,
0.4,0.8,L,5,-0.2656,,,,,,,,,,,,,,,
0.425,0.8,L,5,-0.2596,,,,,,,,,,,,,,,
0.45,0.8,L,5,-0.2358,,,,,,,,,,,,,,,
0.475,0.8,L,5,-0.2167,,,,,,,,,,,,,,,
0.5,0.8,L,5,-0.2038,,,,,,,,,,,,,,,
0.525,0.8,L,5,-0.1865,,,,,,,,,,,,,,,
0.55,0.8,L,5,-0.1786,,,,,,,,,,,,,,,
0.6,0.8,L,5,-0.1493,,,,,,,,,,,,,,,
0.6,0.9,U,6,-0.1262,,,,,,,,,,,,,,,
0.55,0.9,U,6,-0.1574,,,,,,,,,,,,,,,
0.5,0.9,U,6,-0.178,,,,,,,,,,,,,,,
0.45,0.9,U,6,-0.2064,,,,,,,,,,,,,,,
0.4,0.9,U,6,-0.2401,,,,,,,,,,,,,,,
0.375,0.9,U,6,-0.2516,,,,,,,,,,,,,,,
0.35,0.9,U,6,-0.2636,,,,,,,,,,,,,,,
0.325,0.9,U,6,-0.2828,,,,,,,,,,,,,,,
0.3,0.9,U,6,-0.2936,,,,,,,,,,,,,,,
0.25,0.9,U,6,-0.3207,,,,,,,,,,,,,,,
0.25,0.9,L,6,-0.3207,,,,,,,,,,,,,,,
0.3,0.9,L,6,-0.2936,,,,,,,,,,,,,,,
0.325,0.9,L,6,-0.2828,,,,,,,,,,,,,,,
0.35,0.9,L,6,-0.2636,,,,,,,,,,,,,,,
0.375,0.9,L,6,-0.2516,,,,,,,,,,,,,,,
0.4,0.9,L,6,-0.2401,,,,,,,,,,,,,,,
0.45,0.9,L,6,-0.2064,,,,,,,,,,,,,,,
0.5,0.9,L,6,-0.178,,,,,,,,,,,,,,,
0.55,0.9,L,6,-0.1574,,,,,,,,,,,,,,,
0.6,0.9,L,6,-0.1262,,,,,,,,,,,,,,,
