xc_raw,yb_raw,xc,yb,surf,section,cp
0.068029,0.3436,,,L,3,
0.096415,0.3436,,,L,3,
0.127694,0.3436,,,L,3,
0.161629,0.3436,,,L,3,
0.197963,0.3436,,,L,3,
0.236335,0.3436,,,L,3,
0.276981,0.3436,,,L,3,
0.319442,0.3436,,,L,3,
0.363751,0.3436,,,L,3,
0.410335,0.3436,,,L,3,
0.458507,0.3436,,,L,3,
0.508984,0.3436,,,L,3,
0.561119,0.3436,,,L,3,
0.615491,0.3436,,,L,3,
0.671552,0.3436,,,L,3,
0.72819,0.3436,,,L,3,
0.785998,0.3436,,,L,3,
0.843881,0.3436,,,L,3,
0.900483,0.3436,,,L,3,
0.95624,0.3436,,,L,3,
0.99619,0.3436,,,L,3,
0.99619,0.4813,,,U,4,
0.95624,0.4813,,,U,4,
0.900483,0.4813,,,U,4,
0.843881,0.4813,,,U,4,
0.785998,0.4813,,,U,4,
0.72819,0.4813,,,U,4,
0.671552,0.4813,,,U,4,
0.615491,0.4813,,,U,4,
0.561119,0.4813,,,U,4,
0.508984,0.4813,,,U,4,
0.458507,0.4813,,,U,4,
0.410335,0.4813,,,U,4,
0.363751,0.4813,,,U,4,
0.319442,0.4813,,,U,4,
0.276981,0.4813,,,U,4,
0.236335,0.4813,,,U,4,
0.197963,0.4813,,,U,4,
0.161629,0.4813,,,U,4,
0.127694,0.4813,,,U,4,
0.096415,0.4813,,,U,4,
0.068029,0.4813,,,U,4,
0.043449,0.4813,,,U,4,
0.026691,0.4813,,,U,4,
0.020164,0.4813,,,U,4,
0.015533,0.4813,,,U,4,
0.012003,0.4813,,,U,4,
0.008412,0.4813,,,U,4,
0.005101,0.4813,,,U,4,
0.001938,0.4813,,,U,4,
0,0.4813,,,U,4,
0.001938,0.4813,,,L,4,
0.005101,0.4813,,,L,4,
0.008412,0.4813,,,L,4,
0.012003,0.4813,,,L,4,
0.015533,0.4813,,,L,4,
0.020164,0.4813,,,L,4,
0.026691,0.4813,,,L,4,
0.043449,0.4813,,,L,4,
0.068029,0.4813,,,L,4,
0.096415,0.4813,,,L,4,
0.127694,0.4813,,,L,4,
0.161629,0.4813,,,L,4,
0.197963,0.4813,,,L,4,
0.236335,0.4813,,,L,4,
0.276981,0.4813,,,L,4,
0.319442,0.4813,,,L,4,
0.363751,0.4813,,,L,4,
0.410335,0.4813,,,L,4,
0.458507,0.4813,,,L,4,
0.508984,0.4813,,,L,4,
0.561119,0.4813,,,L,4,
0.615491,0.4813,,,L,4,
0.671552,0.4813,,,L,4,
0.72819,0.4813,,,L,4,
0.785998,0.4813,,,L,4,
0.843881,0.4813,,,L,4,
0.900483,0.4813,,,L,4,
0.95624,0.4813,,,L,4,
0.99619,0.4813,,,L,4,
0.99619,0.6084,,,U,5,
0.95624,0.6084,,,U,5,
0.900483,0.6084,,,U,5,
0.843881,0.6084,,,U,5,
0.785998,0.6084,,,U,5,
0.72819,0.6084,,,U,5,
0.671552,0.6084,,,U,5,
0.615491,0.6084,,,U,5,
0.561119,0.6084,,,U,5,
0.508984,0.6084,,,U,5,
0.458507,0.6084,,,U,5,
0.410335,0.6084,,,U,5,
0.363751,0.6084,,,U,5,
0.319442,0.6084,,,U,5,
0.276981,0.6084,,,U,5,
0.236335,0.6084,,,U,5,
0.197963,0.6084,,,U,5,
0.161629,0.6084,,,U,5,
0.127694,0.6084,,,U,5,
0.096415,0.6084,,,U,5,
0.068029,0.6084,,,U,5,
0.043449,0.6084,,,U,5,
0.026691,0.6084,,,U,5,
0.020164,0.6084,,,U,5,
0.015533,0.6084,,,U,5,
0.012003,0.6084,,,U,5,
0.008412,0.6084,,,U,5,
0.005101,0.6084,,,U,5,
0.001938,0.6084,,,U,5,
0,0.6084,,,U,5,
0.001938,0.6084,,,L,5,
0.005101,0.6084,,,L,5,
0.008412,0.6084,,,L,5,
0.012003,0.6084,,,L,5,
0.015533,0.6084,,,L,5,
0.020164,0.6084,,,L,5,
0.026691,0.6084,,,L,5,
0.043449,0.6084,,,L,5,
0.068029,0.6084,,,L,5,
0.096415,0.6084,,,L,5,
0.127694,0.6084,,,L,5,
0.161629,0.6084,,,L,5,
0.197963,0.6084,,,L,5,
0.236335,0.6084,,,L,5,
0.276981,0.6084,,,L,5,
0.319442,0.6084,,,L,5,
0.363751,0.6084,,,L,5,
0.410335,0.6084,,,L,5,
0.458507,0.6084,,,L,5,
0.508984,0.6084,,,L,5,
0.561119,0.6084,,,L,5,
0.615491,0.6084,,,L,5,
0.671552,0.6084,,,L,5,
0.72819,0.6084,,,L,5,
0.785998,0.6084,,,L,5,
0.843881,0.6084,,,L,5,
0.900483,0.6084,,,L,5,
0.95624,0.6084,,,L,5,
0.99619,0.6084,,,L,5,
0.99619,0.7218,,,U,6,
0.95624,0.7218,,,U,6,
0.900483,0.7218,,,U,6,
0.843881,0.7218,,,U,6,
0.785998,0.7218,,,U,6,
0.72819,0.7218,,,U,6,
0.671552,0.7218,,,U,6,
0.615491,0.7218,,,U,6,
0.561119,0.7218,,,U,6,
0.508984,0.7218,,,U,6,
0.458507,0.7218,,,U,6,
0.410335,0.7218,,,U,6,
0.363751,0.7218,,,U,6,
0.319442,0.7218,,,U,6,
0.276981,0.7218,,,U,6,
0.236335,0.7218,,,U,6,
0.197963,0.7218,,,U,6,
0.161629,0.7218,,,U,6,
0.127694,0.7218,,,U,6,
0.096415,0.7218,,,U,6,
0.068029,0.7218,,,U,6,
0.043449,0.7218,,,U,6,
0.026691,0.7218,,,U,6,
0.020164,0.7218,,,U,6,
0.015533,0.7218,,,U,6,
0.012003,0.7218,,,U,6,
0.008412,0.7218,,,U,6,
0.005101,0.7218,,,U,6,
0.001938,0.7218,,,U,6,
0,0.7218,,,U,6,
0.001938,0.7218,,,L,6,
0.005101,0.7218,,,L,6,
0.008412,0.7218,,,L,6,
0.012003,0.7218,,,L,6,
0.015533,0.7218,,,L,6,
0.020164,0.7218,,,L,6,
0.026691,0.7218,,,L,6,
0.043449,0.7218,,,L,6,
0.068029,0.7218,,,L,6,
0.096415,0.7218,,,L,6,
0.127694,0.7218,,,L,6,
0.161629,0.7218,,,L,6,
0.197963,0.7218,,,L,6,
0.236335,0.7218,,,L,6,
0.276981,0.7218,,,L,6,
0.319442,0.7218,,,L,6,
0.363751,0.7218,,,L,6,
0.410335,0.7218,,,L,6,
0.458507,0.7218,,,L,6,
0.508984,0.7218,,,L,6,
0.561119,0.7218,,,L,6,
0.615491,0.7218,,,L,6,
0.671552,0.7218,,,L,6,
0.72819,0.7218,,,L,6,
0.785998,0.7218,,,L,6,
0.843881,0.7218,,,L,6,
0.900483,0.7218,,,L,6,
0.95624,0.7218,,,L,6,
0.99619,0.7218,,,L,6,
0.99619,0.8186,,,U,7,
0.95624,0.8186,,,U,7,
0.900483,0.8186,,,U,7,
0.843881,0.8186,,,U,7,
0.785998,0.8186,,,U,7,
0.72819,0.8186,,,U,7,
0.671552,0.8186,,,U,7,
0.615491,0.8186,,,U,7,
0.561119,0.8186,,,U,7,
0.508984,0.8186,,,U,7,
0.458507,0.8186,,,U,7,
0.410335,0.8186,,,U,7,
0.363751,0.8186,,,U,7,
0.319442,0.8186,,,U,7,
0.276981,0.8186,,,U,7,
0.236335,0.8186,,,U,7,
0.197963,0.8186,,,U,7,
0.161629,0.8186,,,U,7,
0.127694,0.8186,,,U,7,
0.096415,0.8186,,,U,7,
0.068029,0.8186,,,U,7,
0.043449,0.8186,,,U,7,
0.026691,0.8186,,,U,7,
0.020164,0.8186,,,U,7,
0.015533,0.8186,,,U,7,
0.012003,0.8186,,,U,7,
0.008412,0.8186,,,U,7,
0.005101,0.8186,,,U,7,
0.001938,0.8186,,,U,7,
0,0.8186,,,U,7,
0.001938,0.8186,,,L,7,
0.005101,0.8186,,,L,7,
0.008412,0.8186,,,L,7,
0.012003,0.8186,,,L,7,
0.015533,0.8186,,,L,7,
0.020164,0.8186,,,L,7,
0.026691,0.8186,,,L,7,
0.043449,0.8186,,,L,7,
0.068029,0.8186,,,L,7,
0.096415,0.8186,,,L,7,
0.127694,0.8186,,,L,7,
0.161629,0.8186,,,L,7,
0.197963,0.8186,,,L,7,
0.236335,0.8186,,,L,7,
0.276981,0.8186,,,L,7,
0.319442,0.8186,,,L,7,
0.363751,0.8186,,,L,7,
0.410335,0.8186,,,L,7,
0.458507,0.8186,,,L,7,
0.508984,0.8186,,,L,7,
0.561119,0.8186,,,L,7,
0.615491,0.8186,,,L,7,
0.671552,0.8186,,,L,7,
0.72819,0.8186,,,L,7,
0.785998,0.8186,,,L,7,
0.843881,0.8186,,,L,7,
0.900483,0.8186,,,L,7,
0.95624,0.8186,,,L,7,
0.99619,0.8186,,,L,7,
0.99619,0.8965,,,U,8,
0.95624,0.8965,,,U,8,
0.900483,0.8965,,,U,8,
0.843881,0.8965,,,U,8,
0.785998,0.8965,,,U,8,
0.72819,0.8965,,,U,8,
