,0.11,,
0.95,-0.220564482,,
0.9,-0.267463265,,
0.85,-0.321102492,,
0.8,-0.381487064,,
0.76,-0.421650306,,
0.715,-0.455078005,,
0.674560082,-0.488520411,,
0.633481967,-0.521972622,,
0.594055335,-0.54193414,,
0.556249853,-0.568660613,,
0.51762874,-0.615623123,,
0.482303853,-0.66933098,,
0.44322113,-0.736539334,,
0.409672761,-0.817267792,,
0.378523331,-0.945223476,,
0.347374968,,,
0.317026251,-1.295574592,,
0.289474164,-1.49774379,,
0.262322434,-1.672941407,,
0.235970883,-1.821162543,,
0.212016673,-2.036842041,,
0.186866191,-2.286253171,,
0.167305239,-2.441263772,,
0.145751034,-2.562542741,,
0.127392217,-2.636609189,,
0.109830913,-2.717445494,,
0.092671566,-2.818508033,,
0.077510268,-2.879113203,,
0.065940449,-2.7373776,,
0.052777202,-2.649604765,,
0.040413068,-2.534845644,,
0.03203917,-2.45385247,,
0.023665272,-2.447082613,,
0.01569173,-2.44029805,,
0.009716238,-2.420012991,,
0.005337374,-2.305297989,,
0.002953894,-1.961251026,,
0.000972903,-1.516043482,,
0,-0.767285562,,
0,-0.767285562,,
0.001006488,-0.497481525,,
0.005819294,0.52103141,,
0.015825537,0.831258502,,
0.029420594,0.912104612,,
0.045810149,0.871514884,,
0.068192254,0.74321605,,
0.091770631,0.574410824,,
0.120935338,0.42582693,,
0.152495252,0.243491795,,
0.188442561,0.040881405,,
0.227979749,-0.0740689,,
0.265915512,-0.141762565,,
0.300653755,-0.263414096,,
0.333792706,-0.277135189,,
0.370520469,-0.277370492,,
0.424810602,-0.250751866,,
0.486223597,-0.176959937,,
0.547163325,-0.035724353,,
0.611409389,0.125722759,,
0.682247904,0.273639962,,
0.756362423,0.387815729,,
0.83867032,0.427758373,,
0.919282919,0.379987009,,
1,-0.119707832,,
