,0.320,0.420,0.530,0.550
0.005,0.630,0.660,0.680,0.690
0.014,0.970,0.990,1.010,1.030
0.049,0.980,1.000,1.020,1.030
0.073,0.900,0.920,0.950,0.960
0.098,0.830,0.850,0.880,0.890
0.152,0.690,0.710,0.750,0.750
0.251,0.490,0.500,0.540,0.550
0.300,0.400,0.410,0.450,0.460
0.351,0.320,0.330,0.370,0.370
0.403,0.240,0.260,0.300,0.300
0.449,0.180,0.190,0.230,0.230
0.500,0.120,0.130,0.170,0.170
0.549,0.070,0.080,0.120,0.120
0.602,0.040,0.040,0.070,0.070
0.649,0.000,0.000,0.030,0.030
0.701,-0.040,-0.040,-0.010,-0.010
0.751,-0.090,-0.090,-0.070,-0.070
0.801,-0.160,-0.150,-0.130,-0.130
0.851,-0.230,-0.240,-0.220,-0.220
0.951,-0.440,-0.450,-0.460,-0.460
