,0.32,0.42,0.53
0.005,0.490,0.530,0.570
0.014,0.920,0.950,0.970
0.049,1.010,1.030,1.050
0.073,0.950,0.960,0.990
0.098,0.880,0.900,0.930
0.152,0.750,0.770,0.800
0.251,0.550,0.570,0.600
0.300,0.460,0.480,0.510
0.351,0.370,0.390,0.430
0.403,0.300,0.320,0.350
0.449,0.230,0.250,0.280
0.500,0.170,0.190,0.220
0.549,0.110,0.140,0.170
0.602,0.070,0.090,0.120
0.649,0.030,0.040,0.070
0.701,-0.020,0.000,0.020
0.751,-0.080,-0.060,-0.030
0.801,-0.150,-0.130,-0.110
0.851,-0.240,-0.230,-0.200
0.951,-0.480,-0.470,-0.460
