,4.00E-02
0.9,-0.129885057
0.76,-0.250574713
0.62,-0.451724138
0.51,-0.616666667
0.42,-0.890229885
0.34,-1.079310345
0.23,-1.891954023
0.18,-1.904022989
0.14,-2.08908046
0.1,-2.575862069
0.07,-3.018390805
0.05,-3.203448276
0.03,-3.21954023
0.022,-2.821264368
0.02,-0.789655172
0.024,0.52183908
0.03,0.811494253
0.06,0.895977011
0.08,0.702873563
0.12,0.545977011
0.17,0.409195402
0.36,0.143678161
0.51,0.087356322
0.7,0.047126437
