,0.6,0.676,0.725
0.9938,0.1256,0.1449,0.1506
0.9875,0.1123,0.1328,0.1372
0.975,0.0882,0.1075,0.115
0.95,0.0441,0.0567,0.0699
0.925,-0.0121,-0.003,0.0189
0.9,-0.0603,-0.057,-0.0272
0.875,-0.1064,-0.107,-0.0779
0.85,-0.1506,-0.1565,-0.1248
0.825,-0.1932,-0.2043,-0.1731
0.8,-0.2417,-0.2477,-0.2251
0.775,-0.2849,-0.292,-0.2702
0.75,-0.3197,-0.3348,-0.3143
0.7,-0.4011,-0.4265,-0.4051
0.6771,-0.4331,-0.4632,-0.4441
0.65,-0.4797,-0.5186,-0.4955
0.6196,-0.5214,-0.572,-0.5436
0.6,-0.5467,-0.6029,-0.571
0.575,-0.5809,-0.6451,-0.6095
0.55,-0.6028,-0.6773,-0.6712
0.525,-0.6275,-0.7069,-0.9107
0.5,-0.6412,-0.7227,-1.121
0.475,-0.6504,-0.7393,-1.1104
0.45,-0.6597,-0.7471,-1.0911
0.425,-0.6652,-0.7559,-1.0836
0.4,-0.6725,-0.7694,-1.0586
0.375,-0.6811,-0.7766,-1.0428
0.35,-0.684,-0.7788,-1.0312
0.325,-0.6917,-0.7782,-1.0244
0.3,-0.6959,-0.79,-1.0258
0.28,-0.7113,-0.8126,-1.0243
0.25,-0.724,-0.8259,-1.0017
0.2208,-0.723,-0.8033,-0.9756
0.2,-0.7316,-0.7996,-0.9771
0.15,-0.7643,-0.8322,-0.9549
0.1,-0.8011,-0.8661,-0.8737
0.075,-0.821,-0.8705,-0.8169
0.0625,-0.8232,-0.8833,-0.8734
0.05,-0.8172,-0.9122,-0.9833
0.0375,NaN,-0.9591,-1.0183
0.0271,-0.9156,-1.0355,-0.9037
0.0188,-0.8846,-1.0575,-0.9178
0.0146,-0.9676,-0.9606,-0.8145
0.0125,-0.9788,-0.9008,-0.7554
0.0104,-0.9577,-0.8367,-0.687
0.0087,-0.9456,-0.7917,-0.6438
0.0073,-0.9348,-0.734,-0.5985
0.006,-0.8561,-0.6536,-0.4995
0.0048,-0.7784,-0.5533,-0.4069
0.0036,-0.65,-0.4205,-0.2782
0.0026,-0.5303,-0.3002,-0.1562
0.0016,-0.2932,-0.0646,0.0665
0.0008,-0.0652,0.0965,0.2141
0.0002,0.2329,0.4361,0.5227
0,0.7087,0.8359,0.8976
0.0002,0.9606,1.0348,1.0728
0.0008,1.0455,1.0962,1.1224
0.0016,1.0891,1.1135,1.1298
0.0026,1.0834,1.0946,1.1074
0.0036,1.0464,1.0456,1.0558
0.0048,0.9934,0.9847,
0.006,0.9386,0.9243,0.9331
0.0073,0.8706,0.8598,0.8712
0.0087,0.8301,0.8124,0.8213
0.0104,0.772,0.7538,0.7646
0.0125,0.707,0.6886,0.7002
0.0146,0.6522,0.6302,0.6439
0.0186,0.5725,0.5457,0.5619
0.0271,0.5311,0.4384,0.4689
0.0375,0.3612,0.3249,0.3487
0.05,0.2527,0.2296,0.2603
0.0625,0.1877,0.1678,0.1978
0.075,0.1372,0.119,0.146
0.1,0.0552,0.0391,0.06
0.15,-0.0483,-0.0632,-0.0482
0.2,-0.1199,-0.1416,
0.25,-0.1388,-0.2157,-0.211
0.3,-0.2497,-0.2834,-0.2863
0.325,-0.28,-0.3158,-0.3259
0.35,-0.3043,-0.3441,-0.3528
0.375,-0.3187,-0.3589,-0.3747
0.4,-0.3159,-0.3575,-0.3725
0.425,-0.2996,-0.3365,-0.3481
0.45,-0.2723,-0.3024,-0.3146
0.475,-0.2408,-0.2651,-0.27
0.5,-0.2039,-0.2169,-0.2267
0.525,-0.1684,-0.1747,-0.1818
0.55,-0.1268,-0.1284,-0.1323
0.575,-0.0871,-0.0865,-0.0852
0.6,-0.0488,-0.0434,-0.0403
0.6196,-0.0167,-0.0158,
0.65,0.0176,0.0279,0.0346
0.6771,0.0548,0.0679,0.0766
0.7,0.0836,0.0984,0.1064
0.75,0.1394,0.1581,0.167
0.775,0.1623,0.1828,0.1926
0.8,NaN,,
0.825,NaN,,
0.85,0.2254,0.2508,0.2571
0.875,0.2398,0.2639,0.2738
0.9,0.2544,0.277,0.29
0.925,0.261,0.2837,0.296
0.95,0.2596,0.2808,0.2942
0.975,0.2349,0.2588,0.269
0.9875,0.2069,0.2343,
0.9938,0.187,0.2117,0.2188
