,0.5,0.7
0.9501,-0.1072,-0.0732
0.9002,-0.2188,-0.1965
0.8002,-0.3816,-0.4138
0.75,-0.4424,-0.5062
0.7,-0.4855,-0.5782
0.65,-0.5139,-0.6277
0.6002,-0.5261,-0.6523
0.5502,-0.5234,-0.6578
0.5002,-0.5359,-0.6646
0.4501,-0.5422,-0.6782
0.4003,-0.5491,-0.6875
0.3502,-0.5658,-0.6993
0.3001,-0.5917,-0.7259
0.2503,-0.611,-0.7038
0.2003,-0.6461,-0.6837
0.1507,-0.6798,-1.1053
0.1003,-0.7874,-1.2412
0.0759,-0.9119,-1.2564
0.0259,-1.1818,-1.0492
0.0132,-1.033,-0.6461
0,1.0112,1.1175
0,1.0112,1.1175
0.0126,0.6251,0.6047
0.0255,0.4268,0.4142
0.0495,0.2452,0.2383
0.0753,0.1372,0.1168
0.1002,0.0672,0.0396
0.1503,-0.0142,-0.0482
0.1976,-0.0924,-0.1393
0.2503,-0.1399,-0.1956
0.3001,-0.1684,-0.2313
0.3507,-0.1859,-0.255
0.4001,-0.1877,-0.2576
0.4501,-0.1806,-0.2439
0.5001,-0.1498,-0.201
0.5497,-0.0841,-0.1187
0.6003,-0.0053,-0.023
0.65,0.0584,0.0588
0.7,0.1479,0.1583
0.7501,0.2309,0.249
0.8001,0.3049,0.3245
0.8501,0.3766,0.4015
