,0.5,0.7
0.9501,-0.1063,-0.0784
0.9002,-0.2205,-0.2048
0.8002,-0.3926,-0.4222
0.75,-0.4584,-0.5155
0.7,-0.5061,-0.5688
0.65,-0.5392,-0.6404
0.6002,-0.5566,-0.668
0.5502,-0.5684,-0.6711
0.5002,-0.576,-0.6703
0.4501,-0.5882,-0.6609
0.4003,-0.6011,-0.6235
0.3502,-0.6245,-0.579
0.3001,-0.6604,-0.7373
0.2503,-0.69,-1.2925
0.2003,-0.7357,-1.3722
0.1507,-0.7963,-1.4243
0.1003,-0.9382,-1.4632
0.0759,-1.0546,-1.4666
0.0259,-1.5491,-1.2523
0.0132,-1.474,-0.8555
0,0.8924,1.0811
0,0.8924,1.0811
0.0126,0.7662,0.7418
0.0255,0.5588,0.5469
0.0495,0.3627,0.3688
0.0753,0.2385,0.234
0.1002,0.139,0.1506
0.1503,0.064,0.0506
0.1976,-0.0222,-0.0449
0.2503,-0.078,-0.1087
0.3001,-0.1132,-0.1501
0.3507,-0.137,-0.1785
0.4001,-0.1451,-0.1876
0.4501,-0.1439,-0.1807
0.5001,-0.1188,-0.1488
0.5497,-0.0614,-0.0736
0.6003,0.0146,0.017
0.65,0.0741,0.0925
0.7,0.1597,0.1876
0.7501,0.2391,0.2755
0.8001,0.3105,0.3547
0.8501,0.38,0.4278
