,0.5,0.7
0.9501,-0.1137,-0.0912
0.9002,-0.2027,-0.2093
0.8002,-0.3252,-0.3766
0.75,-0.3657,-0.4378
0.7,-0.3868,-0.4724
0.65,-0.394,-0.4848
0.6002,-0.3866,-0.4731
0.5502,-0.3744,-0.4485
0.5002,-0.3578,-0.4258
0.4501,-0.3438,-0.4055
0.4003,-0.329,-0.3865
0.3502,-0.3192,-0.3689
0.3001,-0.3097,-0.353
0.2503,-0.292,-0.3278
0.2003,-0.2791,-0.2978
0.1507,-0.2373,-0.2701
0.1003,-0.2239,-0.2232
0.0759,-0.2057,-0.1949
0.0259,0.028,0.1026
0.0132,0.3388,0.435
0,0.7574,0.8376
0,0.7574,0.8376
0.0126,-0.4541,-0.4582
0.0255,-0.4395,-0.4779
0.0495,-0.4658,-0.5518
0.0753,-0.4474,-0.5509
0.1002,-0.4474,-0.5662
0.1503,-0.4305,-0.5552
0.1976,-0.4594,-0.6051
0.2503,-0.4542,-0.6034
0.3001,-0.4465,-0.5906
0.3507,-0.4335,-0.5726
0.4001,-0.4055,-0.5274
0.4501,-0.37,-0.4644
0.5001,-0.3091,-0.3713
0.5497,-0.22,-0.2503
0.6003,-0.1213,-0.1269
0.65,-0.0348,-0.0202
0.7,0.0717,0.0973
0.7501,0.1682,0.2004
0.8001,0.2514,0.2872
0.8501,0.3267,0.3603
