,0.32,0.42,0.51,0.55,0.57,0.59,0.62,0.65,0.68,0.70,0.73,0.76,0.79
0.02,0.95,0.96,0.98,1.00,0.99,0.99,1.00,1.01,1.01,1.02,1.02,1.02,1.02
0.03,0.86,0.86,0.88,0.90,0.89,0.88,0.89,0.90,0.91,0.91,0.91,0.92,0.92
0.05,0.72,0.72,0.74,0.76,0.75,0.74,0.75,0.76,0.77,0.78,0.77,0.78,0.78
0.08,0.61,0.60,0.60,0.64,0.62,0.62,0.62,0.63,0.64,0.64,0.65,0.65,0.66
0.11,0.53,0.52,0.53,0.56,0.54,0.54,0.54,0.56,0.56,0.56,0.57,0.54,0.58
0.15,0.42,0.42,0.42,0.46,0.44,0.44,0.44,0.45,0.46,0.46,0.46,0.47,0.48
0.20,0.34,0.33,0.33,0.36,0.34,0.34,0.34,0.35,0.36,0.36,0.36,0.37,0.38
0.25,0.30,0.28,0.28,0.31,0.29,0.29,0.30,0.30,0.31,0.31,0.32,0.32,0.33
0.30,0.24,0.23,0.22,0.26,0.24,0.24,0.24,0.25,0.26,0.26,0.25,0.26,--
0.35,0.19,0.18,0.17,0.20,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.20,0.20
0.40,0.14,0.13,0.12,0.15,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.14,--
0.45,0.11,0.09,0.09,0.12,0.10,0.09,0.10,0.10,0.10,0.10,0.10,0.10,0.10
0.50,0.09,0.07,0.06,0.09,0.07,0.07,0.07,0.06,0.07,0.07,0.06,0.07,--
0.56,0.07,0.05,0.04,0.07,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.05
0.60,0.03,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,--
0.66,-0.02,-0.03,-0.04,-0.03,-0.05,-0.04,-0.04,-0.04,-0.05,-0.05,-0.04,-0.05,-0.04
0.71,-0.04,-0.04,-0.06,-0.04,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.07,--
0.76,-0.04,-0.04,-0.06,-0.05,-0.07,-0.06,-0.06,-0.06,-0.06,-0.07,-0.06,-0.07,-0.06
0.85,-0.08,-0.07,-0.09,-0.09,-0.11,-0.11,-0.10,-0.11,-0.11,-0.11,-0.11,-0.12,-0.10
0.90,-0.15,-0.14,-0.16,-0.15,-0.17,-0.18,-0.17,-0.18,-0.18,-0.18,-0.18,-0.19,--
0.96,-0.22,-0.21,-0.24,-0.23,-0.25,-0.26,-0.25,-0.27,-0.27,-0.28,-0.27,-0.28,-0.25
