r,azim,z,Vmag,Vr,Vz,div,vort
0.7423,0,0.13922,12.978,-0.93359,-12.944,-0.054555,-0.031646
0.77192,0,0.13922,12.912,-2.3012,-12.705,-0.089846,-0.050554
0.80451,0,0.13922,14.818,-6.3063,-13.409,-0.010261,-0.092453
0.83413,0,0.13922,15.812,-9.3054,-12.784,-0.075071,-0.047852
0.86671,0,0.13922,13.094,-7.5057,-10.729,-0.065601,0.010277
0.89633,0,0.13922,9.429,-3.5926,-8.7178,-0.0080882,0.012716
0.92891,0,0.13922,7.4477,0.40881,-7.4364,-0.039281,-0.0069579
0.95853,0,0.13922,7.3197,4.8755,-5.4597,-0.034774,-0.01075
0.99111,0,0.13922,6.4808,6.3873,1.0969,-0.019209,-0.0022477
1.0207,0,0.13922,4.4949,2.0625,3.9938,-0.060253,-0.040744
0.7423,0,0.15403,13.449,-1.437,-13.372,-0.027228,-0.20567
0.77192,0,0.15403,13.955,-1.6266,-13.86,-0.00011622,0.017987
0.80451,0,0.15403,13.704,-2.2646,-13.515,-0.048458,0.021242
0.83413,0,0.15403,13.128,-3.1904,-12.735,-0.06862,-0.042297
0.86671,0,0.15403,13.783,-5.3822,-12.689,-0.065094,-0.032328
0.89633,0,0.15403,12.158,-3.7158,-11.576,-0.067735,0.054518
0.92891,0,0.15403,9.8047,-0.4396,-9.7949,-0.028486,0.042916
0.95853,0,0.15403,11.105,6.3041,-9.1424,0.018093,0.072141
0.99111,0,0.15403,10.854,10.53,2.6312,0.0033295,0.0042991
1.0207,0,0.15403,6.1109,2.0729,5.7486,-0.062666,-0.065439
0.7423,0,0.16587,12.851,-1.9648,-12.7,-0.023982,-0.23482
0.77192,0,0.16587,13.885,-2.1982,-13.71,0.0056957,-6.24E-05
0.80451,0,0.16587,14.292,-3.037,-13.966,-0.038981,0.0045844
0.83413,0,0.16587,13.959,-3.5185,-13.509,-0.038652,0.017258
0.86671,0,0.16587,14.003,-4.8458,-13.138,-0.028895,-0.012452
0.89633,0,0.16587,14.178,-5.8694,-12.906,-0.038971,0.049663
0.92891,0,0.16587,12.429,-3.1449,-12.024,-0.092879,0.064065
0.95853,0,0.16587,14.105,-0.5057,-14.096,-0.07143,0.1866
0.99111,0,0.16587,17.687,16.728,5.7447,-0.022213,0.10568
1.0207,0,0.16587,7.8796,1.339,7.765,-0.003158,-0.08578
0.7423,0,0.17772,12.16,-2.035,-11.989,0.016238,-0.071049
0.77192,0,0.17772,13.246,-2.2514,-13.053,-0.01109,-0.0073499
0.80451,0,0.17772,13.889,-2.8673,-13.589,-0.0023178,-0.0058011
0.83413,0,0.17772,13.959,-3.9874,-13.377,0.008649,0.011615
0.86671,0,0.17772,14.389,-4.9311,-13.518,-0.024375,0.010817
0.89633,0,0.17772,14.323,-6.5917,-12.716,0.00086047,0.018578
0.92891,0,0.17772,15.013,-7.0417,-13.26,-0.042907,0.0055489
0.95853,0,0.17772,19.394,-6.3711,-18.318,0.013982,8.99E-05
0.99111,0,0.17772,,6.5112,5.1608,0.053171,1
1.0207,0,0.17772,10.664,-1.4583,10.564,0.14645,-0.070872
0.7423,0,0.19253,11.368,-2.2393,-11.145,0.067054,-0.0013543
0.77192,0,0.19253,12.672,-2.3425,-12.453,0.019546,-0.015292
0.80451,0,0.19253,13.317,-3.4177,-12.871,0.045114,0.011928
0.83413,0,0.19253,13.649,-4.2552,-12.969,-0.0026697,-0.00057222
0.86671,0,0.19253,13.987,-5.6754,-12.784,0.0089554,-0.00058356
0.89633,0,0.19253,14.298,-6.7284,-12.616,0.0089639,0.0094112
0.92891,0,0.19253,15.449,-8.1641,-13.116,0.015924,0.003621
0.95853,0,0.19253,21.15,-11.923,-17.469,-0.0065198,0.0091473
0.99111,0,0.19253,21.082,-19.846,7.1143,0.1308,0.60795
1.0207,0,0.19253,12.907,-7.9025,10.204,0.093012,-0.066432
0.7423,0,0.20438,10.704,-2.4847,-10.411,0.045342,0.008309
0.77192,0,0.20438,11.694,-2.3363,-11.458,-0.0077746,-0.0035838
0.80451,0,0.20438,12.759,-4.1427,-12.068,0.063967,0.0071048
0.83413,0,0.20438,13.341,-4.1766,-12.67,-0.016882,-0.00025148
0.86671,0,0.20438,13.487,-5.4918,-12.318,0.0069978,0.0057772
0.89633,0,0.20438,13.773,-7.0004,-11.861,-0.012468,0.006396
0.92891,0,0.20438,15.005,-8.7049,-12.221,0.0093375,0.0034694
0.95853,0,0.20438,19.736,-14.209,-13.697,-0.0066008,0.0044624
0.99111,0,0.20438,25.761,-25.724,1.3697,-0.11066,0.059984
1.0207,0,0.20438,11.99,-9.8491,6.8369,0.19638,-0.071513
0.7423,0.3065,0.088861,11.035,-2.148,-10.824,-0.014192,0.0043619
0.77192,0.3065,0.088861,14.477,-6.1025,-13.128,-0.020422,-0.043567
0.80451,0.3065,0.088861,17.855,-10.945,-14.108,-0.027846,0.0080341
0.83413,0.3065,0.088861,15.313,-12.53,-8.8034,-0.019268,-0.0085618
0.86671,0.3065,0.088861,7.4708,-6.7713,-3.1565,-0.021672,0.012665
0.89633,0.3065,0.088861,2.8657,-2.0391,-2.0136,-0.031434,0.0047989
0.92891,0.3065,0.088861,2.351,0.71959,-2.2381,0.023831,0.011067
0.95853,0.3065,0.088861,2.1672,2.1489,0.28104,-0.0080456,0.014022
0.99111,0.3065,0.088861,2.5876,1.7241,1.9296,-0.0096119,0.0034275
1.0207,0.3065,0.088861,2.1145,0.5248,2.0484,-0.021305,-0.025523
0.7423,0.3065,0.10071,10.901,-0.81636,-10.87,-0.049671,0.0038506
0.77192,0.3065,0.10071,11.479,-2.5404,-11.195,-0.034292,-0.1005
0.80451,0.3065,0.10071,15.081,-6.3418,-13.683,-0.11374,-0.16219
0.83413,0.3065,0.10071,13.598,-9.6613,-9.5687,-0.0009416,-0.039813
0.86671,0.3065,0.10071,7.8045,-5.7177,-5.3121,-0.019385,-0.0066651
0.89633,0.3065,0.10071,4.3232,-1.9214,-3.8728,-0.0005113,-0.0064219
0.92891,0.3065,0.10071,2.8806,1.5081,-2.4543,-0.015413,0.0092517
0.95853,0.3065,0.10071,2.768,2.7577,-0.2383,-0.019185,0.0060949
0.99111,0.3065,0.10071,3.3527,2.6647,2.0346,-0.0030051,-0.0078097
1.0207,0.3065,0.10071,2.7721,0.56586,2.7137,-0.0085524,-0.033205
0.7423,0.3065,0.11552,10.978,-1.3008,-10.901,0.030305,0.021252
0.77192,0.3065,0.11552,11.548,-0.99926,-11.505,-0.022779,0.0051951
0.80451,0.3065,0.11552,12.234,-2.743,-11.922,-0.012924,0.0053966
0.83413,0.3065,0.11552,11.506,-4.6187,-10.539,-0.01514,-0.040767
0.86671,0.3065,0.11552,8.6024,-4.4218,-7.379,-0.018444,0.0072576
0.89633,0.3065,0.11552,5.9344,-0.98181,-5.8526,0.057944,0.015176
0.92891,0.3065,0.11552,4.4885,2.2716,-3.8712,0.01352,-0.0074005
0.95853,0.3065,0.11552,4.461,4.4226,-0.58394,0.016001,0.0037721
0.99111,0.3065,0.11552,4.6793,3.5943,2.9961,-0.014276,0.01158
1.0207,0.3065,0.11552,3.8452,0.91025,3.736,-0.021071,-0.035696
0.7423,0.3065,0.12737,10.965,-2.9141,-10.571,0.015557,-0.02065
0.77192,0.3065,0.12737,11.773,-1.7256,-11.646,-0.012303,0.0081576
0.80451,0.3065,0.12737,11.951,-2.9461,-11.582,-0.020729,0.0030277
0.83413,0.3065,0.12737,11.014,-4.2754,-10.15,-0.023999,0.018485
0.86671,0.3065,0.12737,10.421,-4.1257,-9.5694,-0.0070934,0.012949
0.89633,0.3065,0.12737,6.5295,-2.4466,-6.0539,-0.013458,0.019145
0.92891,0.3065,0.12737,4.8884,1.4457,-4.6698,-0.0058059,0.038806
0.95853,0.3065,0.12737,6.1473,6.046,-1.1114,0.015415,0.0054118
0.99111,0.3065,0.12737,6.0342,4.4604,4.0641,0.0035784,-0.0038814
1.0207,0.3065,0.12737,4.6819,0.91792,4.591,-0.0039459,-0.033011
0.7423,0.3065,0.13922,10.226,-2.8817,-9.8111,0.012954,-0.021705
0.77192,0.3065,0.13922,11.409,-2.0696,-11.22,0.016775,-0.0056024
0.80451,0.3065,0.13922,12.064,-3.3571,-11.588,-0.017828,0.0083852
0.83413,0.3065,0.13922,11.261,-4.4894,-10.327,-0.019769,0.015873
0.86671,0.3065,0.13922,11.24,-5.024,-10.055,-0.013084,0.0040193
0.89633,0.3065,0.13922,9.537,-3.2451,-8.9679,-0.073157,0.026986
0.92891,0.3065,0.13922,7.3843,0.65291,-7.3553,-0.089557,-0.017371
0.95853,0.3065,0.13922,7.6429,6.8441,-3.4019,-0.088993,0.024133
0.99111,0.3065,0.13922,8.2628,5.5358,6.1342,0.011682,-0.014305
1.0207,0.3065,0.13922,5.3526,0.57833,5.3212,-0.0011918,-0.04188
0.7423,0.3065,0.15403,9.6634,-2.448,-9.3482,0.0040238,0.00072172
0.77192,0.3065,0.15403,11.264,-2.5488,-10.971,0.021312,0.013186
0.80451,0.3065,0.15403,11.743,-3.3716,-11.249,-0.0071383,-0.0047307
0.83413,0.3065,0.15403,11.904,-4.5921,-10.983,-0.028505,0.0060556
0.86671,0.3065,0.15403,11.731,-5.3998,-10.415,-0.027544,-0.0045465
0.89633,0.3065,0.15403,11.395,-4.9526,-10.262,0.0023766,0.02456
0.92891,0.3065,0.15403,10.694,-0.7868,-10.665,-0.018829,0.0076948
0.95853,0.3065,0.15403,13.906,10.76,-8.8095,-0.015334,0.0050142
0.99111,0.3065,0.15403,12.05,6.0822,10.402,-0.044679,0.038597
1.0207,0.3065,0.15403,6.4812,-0.5311,6.4594,0.029543,-0.059529
0.7423,0.3065,0.16587,9.4902,-2.4957,-9.1561,0.0046154,-0.023734
