,0.310,0.410,0.510,0.540,0.570,0.590,0.620,0.640,0.670,0.700,0.730,0.760,0.790
0.013,0.970,1.000,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.990,0.980
0.026,0.890,0.920,0.890,0.890,0.880,0.880,0.890,0.890,0.890,0.890,0.890,0.890,0.890
0.050,0.760,0.780,0.750,0.740,0.740,0.740,0.740,0.750,0.740,0.740,0.500,0.750,0.750
0.075,0.680,0.710,0.680,0.680,0.670,0.670,0.690,0.680,0.680,0.690,0.690,0.690,0.690
0.101,0.610,0.640,0.610,0.610,0.610,0.610,0.610,0.620,0.610,0.620,0.620,0.630,0.630
0.151,0.540,0.550,0.520,0.530,0.530,0.520,0.530,0.530,0.530,0.540,0.540,0.550,0.550
0.200,0.450,0.480,0.460,0.470,0.460,0.460,0.460,0.470,0.470,0.470,0.480,0.490,0.490
0.252,0.420,0.430,0.400,0.410,0.400,0.400,0.410,0.410,0.410,0.420,0.420,0.430,0.430
0.302,0.370,0.390,0.360,0.370,0.360,0.360,0.370,0.370,0.370,0.380,0.370,0.390,0.390
0.352,0.340,0.340,0.320,0.320,0.310,0.310,0.320,0.320,0.320,0.330,0.330,0.340,0.350
0.400,0.300,0.310,0.290,0.290,0.290,0.280,0.290,0.290,0.290,0.300,0.300,0.310,0.310
0.451,0.290,0.290,0.270,0.270,0.270,0.260,0.270,0.270,0.270,0.280,0.280,0.290,0.290
0.501,0.260,0.270,0.240,0.250,0.240,0.240,0.240,0.250,0.250,0.260,0.226,0.270,0.270
0.551,0.230,0.230,0.220,0.220,0.220,0.210,0.210,0.210,0.230,0.230,0.230,0.240,0.240
0.601,0.210,0.210,0.210,0.200,0.210,0.200,0.200,0.200,0.210,0.220,0.220,0.230,0.230
0.657,0.210,0.200,0.200,0.190,0.200,0.190,0.190,0.190,0.200,0.210,0.210,0.220,0.220
0.702,0.200,0.190,0.180,0.180,0.180,0.170,0.180,0.180,0.190,0.200,0.200,0.210,0.210
0.752,0.190,0.180,0.170,0.170,0.170,0.170,0.170,0.170,0.180,0.190,0.190,0.200,0.210
0.801,0.190,0.160,0.150,0.150,0.150,0.140,0.150,0.150,0.160,0.170,0.170,0.180,0.190
0.851,0.150,0.110,0.100,0.090,0.090,0.080,0.080,0.080,0.090,0.100,0.100,0.120,0.130
0.902,0.120,0.050,0.030,0.020,0.020,0.010,0.010,0.000,0.010,0.020,0.020,0.040,0.050
0.951,0.020,-0.130,-0.180,-0.190,-0.200,-0.220,-0.220,-0.230,-0.230,-0.230,-0.240,-0.210,--
