,0.310,0.420,0.520,0.540,0.570,0.590,0.620,0.650,0.670,0.700,0.730
0.013,0.960,1.010,1.010,1.020,1.030,1.040,1.040,1.040,1.050,1.050,1.060
0.026,0.910,0.940,0.920,0.940,0.940,0.940,0.950,0.940,0.960,0.960,0.960
0.050,0.790,0.800,0.790,0.800,0.800,0.800,0.820,0.820,0.830,0.820,0.820
0.074,0.710,0.730,0.720,0.740,0.740,0.740,0.760,0.760,0.760,0.760,0.770
0.101,0.640,0.670,0.660,0.670,0.670,0.680,0.690,0.680,0.700,0.690,0.700
0.151,0.550,0.580,0.560,0.580,0.580,0.580,0.600,0.600,0.610,0.600,0.610
0.200,0.490,0.500,0.490,0.510,0.510,0.510,0.530,0.530,0.540,0.530,0.550
0.252,0.430,0.440,0.420,0.440,0.440,0.450,0.460,0.460,0.480,0.470,0.480
0.302,0.380,0.400,0.380,0.400,0.400,0.400,0.420,0.420,0.430,0.420,0.420
0.352,0.330,0.340,0.340,0.340,0.350,0.350,0.360,0.360,0.370,0.370,0.380
0.400,0.300,0.310,0.300,0.310,0.310,0.310,0.330,0.330,0.340,0.330,0.350
0.451,0.280,0.280,0.260,0.280,0.280,0.280,0.300,0.300,0.310,0.300,0.320
0.501,0.230,0.250,0.240,0.250,0.250,0.250,0.270,0.270,0.280,0.270,0.290
0.551,0.200,0.200,0.210,0.220,0.210,0.220,0.230,0.230,0.240,0.250,0.250
0.601,0.180,0.180,0.190,0.200,0.190,0.200,0.210,0.210,0.220,0.230,0.230
0.652,0.160,0.160,0.170,0.170,0.170,0.180,0.190,0.190,0.190,0.210,0.210
0.702,0.140,0.140,0.150,0.150,0.150,0.150,0.170,0.170,0.170,0.190,0.190
0.752,0.120,0.120,0.130,0.130,0.130,0.140,0.150,0.150,0.160,0.170,0.180
0.801,0.100,0.100,0.110,0.110,0.110,0.110,0.130,0.150,0.140,0.150,0.160
0.851,0.020,0.020,0.030,0.030,0.030,0.040,0.050,0.050,0.150,0.070,0.080
0.902,-0.070,-0.070,-0.070,-0.070,-0.060,-0.060,-0.050,-0.050,-0.040,-0.030,-0.020
0.951,-0.290,-0.320,-0.330,-0.330,-0.330,-0.330,-0.320,-0.320,-0.310,-0.300,-0.290
