,0.31,0.41,0.52,0.55,0.57,0.60
0.01,1.04,1.04,1.07,1.06,1.06,1.08
0.03,0.95,0.99,1.02,1.03,1.02,1.05
0.05,0.87,0.90,0.93,0.92,0.92,0.95
0.08,0.83,0.84,0.86,0.86,0.86,0.89
0.10,0.75,0.77,0.79,0.80,0.79,0.82
0.15,0.66,0.68,0.70,0.70,0.70,0.72
0.20,0.58,0.60,0.62,0.62,0.62,0.65
0.25,0.52,0.54,0.56,0.55,0.55,0.57
0.30,0.46,0.47,0.50,0.50,0.49,0.52
0.35,0.40,0.41,0.44,0.44,0.44,0.46
0.40,0.36,0.37,0.40,0.40,0.39,0.42
0.45,0.33,0.34,0.36,0.36,0.35,0.38
0.50,0.28,0.29,0.32,0.32,0.31,0.34
0.55,0.24,0.26,0.27,0.28,0.28,0.30
0.60,0.20,0.23,0.25,0.25,0.25,0.27
0.65,0.17,0.20,0.21,0.22,0.22,0.23
0.70,0.15,0.17,0.19,0.19,0.19,0.20
0.75,0.12,0.14,0.16,0.16,0.16,0.17
0.80,0.09,0.10,0.13,0.13,0.13,0.14
0.85,0.00,0.02,0.04,0.04,0.04,0.06
0.90,-0.10,-0.09,-0.08,-0.07,-0.07,-0.06
0.95,-0.34,-0.36,-0.36,-0.35,-0.36,-0.35
