,0.310,0.420,0.520,0.550,0.580,0.600
0.015,0.980,1.010,1.050,1.060,1.060,1.070
0.028,1.020,1.030,1.040,1.060,1.060,1.070
0.052,0.950,0.960,1.000,1.000,1.010,1.000
0.080,0.850,0.860,0.900,0.900,0.920,0.920
0.106,0.780,0.800,0.840,0.840,0.850,0.850
0.154,0.670,0.700,0.730,0.730,0.740,0.740
0.204,0.570,0.600,0.640,0.640,0.650,0.640
0.251,0.510,0.530,0.560,0.560,0.580,0.580
0.300,0.430,0.450,0.500,0.500,0.520,0.520
0.352,0.360,0.380,0.410,0.420,0.440,0.430
0.401,0.290,0.300,0.340,0.350,0.360,0.360
0.452,0.230,0.250,0.280,0.290,0.310,0.300
0.500,0.180,0.200,0.240,0.240,0.260,0.260
0.555,0.150,0.160,0.190,0.200,0.220,0.210
0.602,0.070,0.080,0.120,0.120,0.140,0.140
0.655,0.020,0.040,0.050,0.060,0.070,0.070
0.707,-0.030,0.000,0.000,0.010,0.040,0.020
0.755,-0.050,-0.020,-0.030,-0.030,-0.010,-0.010
0.852,-0.140,-0.110,-0.130,-0.140,-0.110,-0.110
0.904,-0.250,-0.230,-0.260,-0.250,-0.230,-0.230
0.955,-0.370,-0.350,-0.400,-0.390,-0.370,-0.370
