,0.320,0.420,0.520,0.540,0.570,0.600,0.620,0.650,0.680,0.710,0.740,0.760,0.790
0.005,0.490,0.690,0.920,0.970,1.010,1.040,1.070,1.100,1.110,1.120,1.130,1.140,1.140
0.013,0.960,1.010,1.060,1.070,1.080,1.080,1.090,1.090,1.080,1.080,1.070,1.050,1.020
0.025,1.020,1.030,1.020,1.020,1.010,1.000,0.990,0.980,0.960,0.950,0.930,0.910,0.870
0.050,0.860,0.840,0.820,0.810,0.800,0.780,0.770,0.750,0.740,0.730,0.710,0.690,0.660
0.075,0.730,0.710,0.690,0.680,0.670,0.650,0.650,0.630,0.620,0.610,0.590,0.570,0.550
0.100,0.650,0.640,0.620,0.610,0.600,0.590,0.580,0.570,0.550,0.550,0.530,0.520,0.490
0.150,0.540,0.530,0.510,0.510,0.500,0.490,0.480,0.470,0.460,0.450,0.440,0.430,0.410
0.200,0.460,0.440,0.430,0.420,0.420,0.410,0.400,0.390,0.380,0.380,0.370,0.350,0.330
0.250,0.410,0.390,0.380,0.380,0.360,0.360,0.350,0.340,0.330,--,--,--,--
0.300,0.340,0.320,0.310,0.310,0.300,0.290,0.290,0.270,0.270,0.260,0.250,0.240,0.220
0.350,0.300,0.280,0.260,0.260,0.250,0.240,0.240,0.220,0.210,--,--,--,--
0.400,0.260,0.240,0.230,0.230,0.220,0.210,0.200,0.190,0.180,0.180,0.170,0.150,0.130
0.450,0.240,0.220,0.200,0.200,0.190,0.190,0.180,0.170,0.160,--,--,--,--
0.500,0.220,0.200,0.190,0.190,0.170,0.170,0.160,0.150,0.140,0.140,0.130,0.110,0.090
0.550,0.220,0.200,0.190,0.180,0.170,0.170,0.160,0.150,0.140,--,--,--,--
0.600,0.210,0.190,0.180,0.180,0.170,0.160,0.160,0.140,0.140,0.130,0.130,0.120,0.100
0.700,0.210,0.190,0.180,0.180,0.170,0.160,0.160,0.150,0.140,--,--,--,--
0.750,0.210,0.190,0.180,0.180,0.160,0.160,0.150,0.140,0.140,0.140,0.130,0.130,0.110
0.800,0.220,0.190,0.180,0.170,0.170,0.160,0.150,0.140,0.130,--,--,--,--
0.850,0.190,0.160,0.150,0.150,0.130,0.130,0.120,0.100,0.100,0.090,0.090,0.080,0.060
0.950,0.090,0.060,0.030,0.020,0.000,-0.010,-0.020,-0.050,-0.060,-0.070,-0.080,-0.090,-0.110
