,0.320,0.420,0.510,0.560,0.610,0.640,0.670,0.690,0.720,0.740,0.770,0.800,0.830,0.870
0.000,-0.280,-0.110,0.010,0.100,0.220,0.290,0.340,0.380,0.440,0.480,0.540,0.610,0.690,0.760
0.005,1.010,1.030,1.040,1.060,1.080,1.100,1.110,1.110,1.120,1.130,1.140,1.150,1.170,1.190
0.013,0.960,1.000,1.000,1.010,1.020,1.020,1.020,1.030,1.040,1.050,1.040,1.050,1.050,1.070
0.025,0.750,0.740,0.750,0.750,0.760,0.770,0.760,0.760,0.780,0.790,0.790,0.780,0.780,0.800
0.075,0.300,0.320,0.310,0.320,0.320,0.330,0.320,0.330,0.340,0.360,0.360,0.360,0.370,0.390
0.100,0.200,0.220,0.200,0.200,0.210,0.210,0.210,0.210,0.230,0.250,0.240,0.250,0.260,0.280
0.150,0.080,0.080,0.060,0.060,0.060,0.070,0.060,0.060,0.070,0.090,0.090,0.090,0.100,0.130
0.200,-0.030,-0.020,-0.030,-0.050,-0.060,-0.050,-0.050,-0.060,-0.040,-0.040,-0.040,-0.040,-0.030,0.010
0.250,-0.110,-0.100,-0.130,-0.140,-0.150,-0.140,-0.150,-0.160,-0.150,-0.150,-0.150,-0.150,-0.150,-0.110
0.300,-0.160,-0.160,-0.200,-0.200,-0.220,-0.210,-0.230,-0.250,-0.240,-0.240,-0.240,-0.260,-0.250,-0.210
0.350,-0.200,-0.200,-0.240,-0.250,-0.270,-0.270,-0.290,-0.310,-0.300,-0.300,-0.320,-0.330,-0.330,-0.290
0.400,-0.240,-0.240,-0.290,-0.290,-0.310,-0.320,-0.340,-0.360,-0.360,-0.370,-0.390,-0.430,-0.420,-0.370
0.450,-0.270,-0.270,-0.320,-0.330,-0.360,-0.350,-0.390,-0.400,-0.410,-0.420,-0.460,-0.530,-0.550,-0.500
0.500,-0.270,-0.270,-0.320,-0.330,-0.350,-0.350,-0.380,-0.410,-0.410,-0.430,-0.470,-0.550,-0.610,-0.570
0.550,-0.260,-0.260,-0.310,-0.320,-0.340,-0.340,-0.370,-0.400,-0.390,-0.410,-0.440,-0.520,-0.640,-0.620
0.600,-0.260,-0.250,-0.300,-0.310,-0.330,-0.330,-0.360,-0.380,-0.380,-0.390,-0.420,-0.490,-0.660,-0.670
0.650,-0.230,-0.230,-0.270,-0.280,-0.300,-0.300,-0.330,-0.350,-0.350,-0.360,-0.390,-0.450,-0.620,-0.730
0.700,-0.200,-0.220,-0.240,-0.250,-0.270,-0.270,-0.300,-0.320,-0.310,-0.320,-0.350,-0.420,-0.590,-0.690
0.750,-0.180,-0.180,-0.220,-0.230,-0.250,-0.250,-0.270,-0.290,-0.290,-0.290,-0.310,-0.330,-0.470,-0.660
0.800,-0.150,-0.160,-0.190,-0.200,-0.210,-0.210,-0.230,-0.250,-0.230,-0.220,-0.230,-0.220,-0.220,-0.630
0.850,-0.130,-0.110,-0.140,-0.130,-0.130,-0.120,-0.140,-0.150,-0.130,-0.120,-0.120,-0.130,-0.110,-0.420
0.900,-0.020,0.000,-0.020,-0.030,-0.030,-0.020,-0.030,-0.040,-0.020,-0.010,-0.010,-0.010,-0.010,-0.220
0.950,0.070,0.070,0.040,0.040,0.040,0.050,0.040,0.030,0.050,0.060,0.080,0.070,0.070,-0.070
