,0.310,0.420,0.520,0.550,0.570,0.600,0.630,0.660,0.690,0.710,0.750
0.005,0.350,0.680,0.900,0.950,0.990,1.020,1.050,1.060,1.080,1.110,1.120
0.013,0.910,1.010,1.160,1.080,1.080,1.090,1.100,1.100,1.110,1.120,1.120
0.025,1.010,1.030,1.040,1.030,1.030,1.030,1.030,1.030,1.030,1.030,1.030
0.050,0.880,0.870,0.840,0.850,0.840,0.840,0.830,0.830,0.830,0.830,0.830
0.075,0.750,0.730,0.710,0.720,0.720,0.710,0.710,0.700,0.700,0.700,0.700
0.100,0.670,0.660,0.640,0.640,0.650,0.640,0.640,0.630,0.640,0.630,0.640
0.150,0.560,0.550,0.540,0.540,0.540,0.540,0.540,0.530,0.540,0.530,0.540
0.200,0.470,0.450,0.450,0.450,0.450,0.450,0.450,0.450,0.450,0.440,0.450
0.250,0.410,0.400,0.390,0.390,0.400,0.400,0.390,--,--,--,--
0.300,0.340,0.320,0.310,0.320,0.320,0.320,0.320,0.320,0.330,0.320,0.330
0.350,0.280,0.270,0.260,0.260,0.270,0.260,0.260,--,--,--,--
0.400,0.240,0.220,0.210,0.220,0.220,0.220,0.220,0.220,0.220,0.220,0.230
0.450,0.210,0.190,0.180,0.190,0.190,0.190,0.180,--,--,--,--
0.500,0.190,0.170,0.160,0.160,0.170,0.170,0.160,0.160,0.170,0.160,0.170
0.550,0.170,0.150,0.150,0.150,0.150,0.150,0.150,--,--,--,--
0.600,0.160,0.140,0.130,0.140,0.140,0.140,0.140,0.140,0.140,0.130,0.140
0.700,0.140,0.120,0.110,0.110,0.120,0.120,0.120,--,--,--,--
0.750,0.130,0.110,0.100,0.100,0.110,0.110,0.100,0.110,0.110,0.110,0.120
0.800,0.100,0.100,0.080,0.090,0.090,0.090,0.090,--,--,--,--
0.850,0.060,0.050,0.030,0.040,0.040,0.040,0.040,0.050,0.050,0.040,0.060
0.950,-0.110,-0.140,-0.160,-0.160,-0.150,-0.150,-0.170,-0.160,-0.150,-0.170,-0.150
