,0.320,0.430,0.540
0.000,-0.880,-0.880,-0.890
0.005,-0.860,-0.860,-0.870
0.013,-0.860,-0.860,-0.870
0.025,-0.860,-0.850,-0.870
0.075,-0.860,-0.850,-0.860
0.100,-0.860,-0.850,-0.870
0.150,-0.860,-0.850,-0.870
0.200,-0.860,-0.860,-0.880
0.250,-0.860,-0.870,-0.880
0.300,-0.870,-0.870,-0.890
0.350,-0.880,-0.880,-0.890
0.400,-0.890,-0.890,-0.900
0.450,-0.900,-0.890,-0.910
0.500,-0.900,-0.890,-0.910
0.550,-0.900,-0.900,-0.920
0.600,-0.900,-0.900,-0.920
0.650,-0.900,-0.900,-0.930
0.700,-0.900,-0.900,-0.920
0.750,-0.900,-0.900,-0.930
0.800,-0.890,-0.890,-0.920
0.850,-0.890,-0.880,-0.910
0.900,-0.880,-0.870,-0.890
0.950,-0.870,-0.860,-0.890
