,0.320,0.420,0.520,0.550,0.570,0.600,0.630,0.650,0.680,0.710,0.740,0.770
0.005,0.310,0.660,0.940,0.980,1.010,1.050,1.070,1.090,1.100,1.120,1.130,1.150
0.013,0.940,1.010,1.070,1.070,1.080,1.090,1.100,1.100,1.090,1.090,1.090,1.100
0.025,1.070,1.030,1.020,1.020,1.010,1.010,1.000,1.000,0.990,0.980,0.980,0.970
0.050,0.920,0.850,0.830,0.820,0.810,0.800,0.790,0.790,0.780,0.770,0.760,0.760
0.075,0.780,0.720,0.700,0.690,0.680,0.670,0.670,0.660,0.650,0.650,0.640,0.640
0.100,0.700,0.650,0.630,0.620,0.620,0.610,0.600,0.600,0.590,0.590,0.570,0.570
0.150,0.580,0.540,0.520,0.520,0.510,0.500,0.500,0.500,0.490,0.490,0.480,0.480
0.200,0.480,0.450,0.440,0.430,0.430,0.420,0.420,0.410,0.410,0.400,0.400,0.400
0.250,0.430,0.390,0.390,0.380,0.380,0.370,0.370,0.360,--,--,--,--
0.300,0.360,0.330,0.320,0.310,0.310,0.300,0.300,0.290,0.290,0.280,0.280,0.280
0.350,0.300,0.270,0.270,0.250,0.250,0.240,0.240,0.240,--,--,--,--
0.400,0.260,0.230,0.230,0.220,0.220,0.200,0.200,0.200,0.190,0.190,0.180,0.180
0.450,0.230,0.200,0.200,0.190,0.190,0.170,0.170,0.170,--,--,--,--
0.500,0.210,0.190,0.180,0.170,0.170,0.150,0.150,0.150,0.140,0.140,0.140,0.130
0.550,0.200,0.180,0.170,0.160,0.160,0.150,0.140,0.140,--,--,--,--
0.600,0.190,0.170,0.160,0.150,0.150,0.140,0.120,0.130,0.140,0.130,0.120,0.120
0.700,0.170,0.150,0.150,0.140,0.140,0.130,0.150,0.120,--,--,--,--
0.750,0.170,0.150,0.150,0.130,0.130,0.120,0.130,0.110,0.110,0.110,0.110,0.110
0.850,0.120,0.100,0.090,0.080,0.080,0.070,0.030,0.050,0.050,0.060,0.060,0.060
0.950,-0.030,-0.060,-0.070,-0.080,-0.090,-0.110,-0.120,-0.130,-0.140,-0.140,-0.140,-0.130
