,1.00E+05
0,0.306314797
0.005623243,0.898209237
0.014995314,0.807728558
0.01968135,0.679547597
0.027179007,0.56267672
0.035613871,0.445805844
0.044985942,0.336475024
0.053420806,0.253534402
0.073102156,0.095193214
0.08809747,0.027332705
0.111527648,-0.040527804
0.128397376,-0.07068803
0.150890347,-0.081998115
0.169634489,-0.100848256
0.195876289,-0.138548539
0.220243674,-0.146088596
0.246485473,-0.217719133
0.27366448,-0.240339303
0.303655108,-0.251649387
0.332708529,-0.244109331
0.369259606,-0.229029218
0.40393627,-0.213949105
0.437675726,-0.206409048
0.479850047,-0.176248822
0.517338332,-0.168708765
0.557638238,-0.153628652
0.598875351,-0.123468426
0.639175258,-0.100848256
0.686035614,-0.0933082
0.740393627,-0.051837889
0.806935333,-0.051837889
0.875351453,-0.048067861
0.957825679,-0.040527804
