,1.00E+05
0.004686036,-0.903864279
0.0131209,-1.3600377
0.014995314,-1.46936852
0.029990628,-1.563619227
0.045923149,-1.571159284
0.072164948,-1.458058435
0.087160262,-1.427898209
0.108716026,-1.3600377
0.128397376,-1.307257304
0.149015933,-1.231856739
0.169634489,-1.171536287
0.194001874,-1.111215834
0.21836926,-1.050895382
0.243673852,-1.013195099
0.27366448,-0.990574929
0.304592315,-0.971724788
0.334582943,-0.952874647
0.370196813,-0.941564562
0.40393627,-0.934024505
0.439550141,-0.92271442
0.477975633,-0.632422243
0.518275539,-0.500471254
0.559512652,-0.466540999
0.598875351,-0.432610745
0.641049672,-0.413760603
0.6841612,-0.357210179
0.73945642,-0.319509896
0.805060918,-0.236569274
0.875351453,-0.172478794
0.956888472,-0.0933082
