,1.50E+06,2.50E+06
0,1,1.014127144
0.01,0.007272727,0.074672048
0.022,-0.291818182,-0.363269425
0.04,-0.565454545,-0.61049445
0.09,-0.730909091,-0.765893037
0.16,-0.718181818,-0.751765893
0.25,-0.730909091,-0.702320888
0.36,-0.641818182,-0.638748739
0.49,-0.476363636,-0.483350151
0.64,-0.355454545,-0.349142281
0.79,-0.253636364,-0.236125126
0.95,0.02,0.004036327
1,0.01,0.109989909
