,0.310,0.420,0.520,0.540,0.570,0.590,0.620,0.640,0.670,0.700,0.730,0.760
0.000,-0.830,-0.810,-0.800,-0.810,-0.810,-0.960,-1.100,-0.710,-0.690,-0.680,-0.660,-0.650
0.005,-0.570,-0.580,-0.580,-0.630,-0.600,-0.750,-0.830,-0.590,-0.610,-0.630,-0.610,-0.660
0.029,-0.560,-0.570,-0.560,-0.590,-0.580,-0.720,-0.800,-0.580,-0.600,-0.620,-0.600,-0.650
0.051,-0.560,-0.570,-0.560,-0.600,-0.580,-0.730,-0.790,-0.570,-0.600,-0.610,-0.600,-0.650
0.076,-0.560,-0.570,-0.560,-0.610,-0.590,-0.730,-0.760,-0.570,-0.600,-0.610,-0.600,-0.640
0.101,-0.560,-0.570,-0.560,-0.620,-0.590,-0.690,-0.690,-0.580,-0.600,-0.610,-0.600,-0.640
0.151,-0.570,-0.580,-0.570,-0.620,-0.590,-0.620,-0.620,-0.590,-0.610,-0.610,-0.610,-0.640
0.199,-0.580,-0.580,-0.570,-0.620,-0.600,-0.610,-0.610,-0.590,-0.610,-0.620,-0.610,-0.650
0.249,-0.590,-0.580,-0.580,-0.610,-0.600,-0.610,-0.610,-0.600,-0.620,-0.630,-0.620,-0.650
0.301,-0.620,-0.590,-0.590,-0.620,-0.620,-0.620,-0.620,-0.610,-0.630,-0.630,-0.620,-0.660
0.349,-0.630,-0.600,-0.600,-0.620,-0.630,-0.630,-0.630,-0.620,-0.640,-0.640,-0.630,-0.670
0.406,-0.640,-0.610,-0.620,-0.630,-0.650,-0.630,-0.640,-0.620,-0.650,-0.660,-0.640,-0.670
0.499,-0.670,-0.650,-0.650,-0.660,-0.680,-0.670,-0.670,-0.650,-0.670,-0.670,-0.660,-0.690
0.549,-0.690,-0.660,-0.660,-0.680,-0.690,-0.680,-0.690,-0.660,-0.680,-0.680,-0.670,-0.700
0.598,-0.700,-0.670,-0.670,-0.690,-0.700,-0.690,-0.700,-0.670,-0.690,-0.700,-0.680,-0.710
0.649,-0.710,-0.600,-0.680,-0.690,-0.710,-0.700,-0.710,-0.680,-0.700,-0.700,-0.690,-0.720
0.701,-0.710,-0.680,-0.690,-0.700,-0.710,-0.710,-0.720,-0.680,-0.710,-0.710,-0.700,-0.730
0.751,-0.720,-0.690,-0.690,-0.700,-0.720,-0.710,-0.720,-0.690,-0.710,-0.710,-0.700,-0.730
0.802,-0.710,-0.680,-0.690,-0.700,-0.720,-0.720,-0.720,-0.690,-0.710,-0.710,-0.700,-0.730
0.849,-0.700,-0.670,-0.690,-0.700,-0.710,-0.720,-0.730,-0.700,-0.710,-0.720,-0.710,-0.740
0.951,-0.660,-0.640,-0.650,-0.670,-0.680,-0.690,-0.710,-0.670,-0.690,-0.690,-0.690,-0.730
1.000,-0.610,-0.600,-0.620,-0.620,-0.660,-0.670,-0.690,-0.660,-0.670,-0.680,-0.670,-0.720
