,0.320,0.420,0.520,0.540,0.580,0.610
0.000,-0.650,-0.740,-0.690,-0.700,-0.730,-0.830
0.005,-0.610,-0.710,-0.660,-0.670,-0.700,-0.800
0.029,-0.620,-0.710,-0.660,-0.670,-0.700,-0.800
0.051,-0.610,-0.710,-0.650,-0.670,-0.690,-0.790
0.076,-0.600,-0.710,-0.650,-0.670,-0.700,-0.790
0.101,-0.610,-0.710,-0.660,-0.670,-0.700,-0.800
0.151,-0.620,-0.710,-0.660,-0.680,-0.700,-0.800
0.199,-0.620,-0.720,-0.660,-0.680,-0.700,-0.800
0.249,-0.620,-0.720,-0.670,-0.680,-0.710,-0.810
0.301,-0.620,-0.730,-0.670,-0.690,-0.710,-0.810
0.349,-0.630,-0.740,-0.680,-0.690,-0.720,-0.820
0.400,-0.640,-0.740,-0.680,-0.690,-0.720,-0.820
0.499,-0.650,-0.750,-0.690,-0.710,-0.730,-0.830
0.549,-0.660,-0.760,-0.700,-0.710,-0.740,-0.840
0.598,-0.660,-0.760,-0.700,-0.710,-0.740,-0.840
0.649,-0.670,-0.760,-0.710,-0.720,-0.750,-0.850
0.701,-0.660,-0.770,-0.710,-0.720,-0.750,-0.850
0.751,-0.670,-0.770,-0.710,-0.720,-0.750,-0.850
0.802,-0.660,-0.760,-0.700,-0.710,-0.740,-0.840
0.849,-0.660,-0.770,-0.710,-0.720,-0.750,-0.850
0.951,-0.640,-0.740,-0.680,-0.700,-0.720,-0.810
1.000,-0.630,-0.720,-0.670,-0.630,-0.710,-0.810
