,0.320,0.420,0.520,0.540,0.580,0.610
0.005,0.830,0.830,0.890,0.890,0.900,0.880
0.014,1.020,1.040,1.070,1.070,1.080,1.080
0.049,0.900,0.930,0.950,0.950,0.960,0.980
0.073,0.800,0.830,0.850,0.850,0.860,0.890
0.098,0.710,0.740,0.760,0.760,0.780,0.810
0.152,0.560,0.600,0.620,0.620,0.630,0.660
0.251,0.360,0.390,0.400,0.410,0.420,0.450
0.300,0.270,0.300,0.310,0.320,0.330,0.360
0.351,0.190,0.220,0.230,0.230,0.250,0.280
0.403,0.130,0.150,0.170,0.170,0.180,0.210
0.449,0.070,0.090,0.100,0.100,0.110,0.150
0.500,0.010,0.030,0.050,0.050,0.060,0.090
0.549,-0.020,-0.010,0.010,0.010,0.020,0.050
0.602,-0.050,-0.040,-0.020,-0.020,-0.010,0.010
0.649,-0.080,-0.070,-0.060,-0.060,-0.050,-0.020
0.701,-0.110,-0.100,-0.090,-0.090,-0.080,-0.060
0.751,-0.150,-0.140,-0.130,-0.130,-0.120,-0.100
0.801,-0.190,-0.200,-0.180,-0.180,-0.180,-0.160
0.851,-0.250,-0.270,-0.250,-0.250,-0.250,-0.240
0.951,-0.410,-0.450,-0.430,-0.430,-0.430,-0.450
