,0.310,0.420,0.520,0.550,0.580,0.600
0.005,0.750,0.780,0.790,0.810,0.800,0.830
0.014,1.010,1.030,1.050,1.060,1.060,1.080
0.049,0.940,0.960,0.990,1.000,1.000,1.010
0.073,0.850,0.870,0.900,0.910,0.920,0.930
0.098,0.760,0.790,0.820,0.830,0.840,0.840
0.152,0.620,0.650,0.680,0.690,0.700,0.700
0.251,0.410,0.440,0.470,0.480,0.490,0.490
0.300,0.320,0.350,0.380,0.390,0.400,0.400
0.351,0.240,0.270,0.300,0.300,0.320,0.320
0.403,0.180,0.200,0.230,0.230,0.250,0.240
0.449,0.110,0.130,0.160,0.160,0.180,0.170
0.500,0.060,0.080,0.100,0.110,0.120,0.120
0.549,0.020,0.040,0.050,0.060,0.070,0.070
0.602,-0.020,0.000,0.020,0.020,0.040,0.030
0.649,-0.050,-0.030,-0.020,-0.010,0.000,-0.010
0.701,-0.090,-0.070,-0.060,-0.050,-0.040,-0.050
0.751,-0.130,-0.110,-0.110,-0.100,-0.090,-0.090
0.801,-0.190,-0.170,-0.170,-0.160,-0.150,-0.150
0.851,-0.250,-0.240,-0.250,-0.240,-0.230,-0.230
0.951,-0.430,-0.420,-0.450,-0.440,-0.450,-0.440
