,0.310,0.420,0.520,0.550,0.580,0.600
0.000,-0.690,-0.690,-0.770,-0.770,-0.790,-0.790
0.005,-0.670,-0.680,-0.750,-0.750,-0.770,-0.760
0.029,-0.670,-0.680,-0.750,-0.750,-0.770,-0.760
0.051,-0.670,-0.670,-0.750,-0.750,-0.770,-0.760
0.076,-0.670,-0.670,-0.750,-0.750,-0.770,-0.760
0.101,-0.670,-0.680,-0.750,-0.750,-0.770,-0.770
0.151,-0.680,-0.680,-0.760,-0.750,-0.780,-0.770
0.199,-0.680,-0.680,-0.760,-0.750,-0.780,-0.770
0.249,-0.670,-0.690,-0.770,-0.760,-0.780,-0.780
0.301,-0.690,-0.690,-0.770,-0.770,-0.790,-0.780
0.349,-0.700,-0.690,-0.780,-0.770,-0.790,-0.790
0.400,-0.710,-0.700,-0.780,-0.770,-0.790,-0.790
0.499,-0.710,-0.710,-0.790,-0.790,-0.810,-0.800
0.549,-0.710,-0.710,-0.800,-0.790,-0.810,-0.810
0.598,-0.710,-0.720,-0.800,-0.800,-0.820,-0.810
0.649,-0.720,-0.720,-0.800,-0.800,-0.820,-0.810
0.701,-0.720,-0.720,-0.810,-0.800,-0.820,-0.810
0.751,-0.730,-0.720,-0.810,-0.800,-0.820,-0.810
0.802,-0.720,-0.720,-0.800,-0.790,-0.820,-0.810
0.849,-0.720,-0.720,-0.800,-0.790,-0.820,-0.810
0.951,-0.700,-0.700,-0.780,-0.770,-0.790,-0.790
1.000,-0.690,-0.680,-0.770,-0.760,-0.790,-0.790
