,0.4,0.6
1,0.101325646,0.147770766
0.9,0.038975073,0.059394977
0.8,-0.0913249,-0.073982785
0.7,-0.204637523,-0.199047507
0.6,-0.317791088,-0.299706255
0.55,-0.349045903,-0.35824204
0.5,-0.397288068,-0.400524948
0.45,-0.462358526,-0.463030651
0.4,-0.527428983,-0.529719532
0.35,-0.60390387,-0.592225235
0.3,-0.663470935,-0.650814336
0.25,-0.779423913,-0.770445027
0.2,-0.912682357,-0.959377035
0.15,-1.159030743,-1.588736178
0.12,-1.256644382,-2.472227491
0.1,-1.411121107,-2.556395495
0.08,-1.62174516,-2.551305962
0.06,-1.860760991,-2.423919986
0.04,-2.190376022,-2.227126064
0.02,-2.236709496,-1.806068684
0.01,-2.022172627,-1.320319685
0,-0.170551482,0.417036198
0.01,1.024623108,1.085270189
0.04,0.59052315,0.549536313
0.06,0.438670875,0.426173571
0.1,0.32772821,0.313867543
0.2,0.214463305,0.22700508
0.35,0.137956607,0.145683278
0.7,0.112777792,0.094357323
0.9,0.16370803,0.153208897
1,0.146704774,0.151847314
