,0.4,0.6
1,0.129637895,0.143800848
0.9,0.03913413,0.047112018
0.8,-0.0573502,-0.081975936
0.7,-0.131025673,-0.166435122
0.6,-0.227271417,-0.259047404
0.55,-0.264029624,-0.284757545
0.5,-0.295204911,-0.335300179
0.45,-0.343288018,-0.385682868
0.4,-0.380205284,-0.444058708
0.35,-0.428447449,-0.49846463
0.3,-0.459384149,-0.552870552
0.25,-0.547263464,-0.648148585
0.2,-0.640805229,-0.759466235
0.15,-0.802137336,-0.960787832
0.12,-0.843285533,-1.045222411
0.1,-0.912586922,-1.149773155
0.08,-1.027028854,-1.381123409
0.06,-1.135808336,-1.510613276
0.04,-1.227679996,-1.554282375
0.01,-1.013461242,-1.006745375
0.0008,-0.640137187,-0.488597251
0.01,0.876842707,1.004165748
0.02,0.673710267,0.693814946
0.04,0.165759873,0.166234166
0.06,0.076194547,0.079666986
0.1,0.027459304,0.028615809
0.2,0.027602455,0.051660199
0.35,0.007720257,-0.013408726
0.7,0.050252255,0.053805103
0.9,0.090016651,0.157285446
1,0.140962795,0.135701067
