,0.4,0.6
1,0.129796953,0.143747533
0.9,0.067207794,0.083960895
0.8,0.010758257,0.011784669
0.7,-0.040346944,-0.044138681
0.6,-0.057318389,-0.079625975
0.55,-0.071665383,-0.085060005
0.5,-0.080031812,-0.106960173
0.45,-0.094140219,-0.120493984
0.4,-0.125395034,-0.134294371
0.35,-0.128258071,-0.147881497
0.3,-0.114054229,-0.13695602
0.25,-0.133825086,-0.162879421
0.2,-0.131025673,-0.180543095
0.15,-0.167863409,-0.186137071
0.12,-0.146645128,-0.139908852
0.1,-0.114101946,-0.106016907
0.08,-0.09248602,-0.080544633
0.06,-0.025650024,0.006182491
0.04,0.120380744,0.575061902
0.01,0.504393469,0.89367243
0.0008,0.299511395,0.417036198
0.01,-1.308544872,-1.552789554
0.04,-1.11419241,-1.595154485
0.06,-0.960192857,-1.412776123
0.1,-0.702996744,-0.87669775
0.2,-0.414227701,-0.490574008
0.35,-0.292389592,-0.3517089
0.7,-0.091468052,-0.109310134
0.9,0.061545344,-0.016857798
1,0.118472053,0.151900629
