X/C,X/C UR,CP
0.9489,-0.9489,0.0754
0.8993,-0.8993,0.0087
0.85,-0.85,-0.0596
0.8003,-0.8003,-0.1094
0.7489,-0.7489,-0.1624
0.6996,-0.6996,-0.2146
0.6495,-0.6495,-0.2621
0.5994,-0.5994,-0.3045
0.5492,-0.5492,-0.3535
0.4997,-0.4997,-0.4153
0.4496,-0.4496,-0.466
0.3994,-0.3994,-0.533
0.3499,-0.3499,-0.5984
0.299,-0.299,-0.676
0.2501,-0.2501,-0.753
0.1994,-0.1994,-0.866
0.1503,-0.1503,-0.9786
0.1012,-0.1012,-1.1735
0.0763,-0.0763,-1.3149
0.0515,-0.0515,-1.4408
0.0271,-0.0271,-1.7282
0.0135,-0.0135,-1.9218
0,0,-0.1748
0.0122,0.0122,0.9339
0.0251,0.0251,0.7073
0.051,0.051,0.439
0.0755,0.0755,0.2993
0.1,0.1,0.2102
0.1504,0.1504,0.094
0.2004,0.2004,0.0332
0.2501,0.2501,0.004
0.3002,0.3002,-0.0165
0.3507,0.3507,-0.0303
0.4,0.4,-0.0388
0.4503,0.4503,-0.0333
0.5,0.5,-0.0376
0.5506,0.5506,-0.0322
0.5997,0.5997,-0.0215
0.6502,0.6502,-0.0319
0.7003,0.7003,-0.0074
0.7497,0.7497,0.0099
0.7998,0.7998,0.0308
0.8503,0.8503,0.0374
0.9,0.9,0.0396
0.9483,0.9483,0.1013
