X/C,X/C UR,CP
0.9489,-0.9489,0.0758
0.8993,-0.8993,0.0075
0.85,-0.85,-0.0693
0.8003,-0.8003,-0.1373
0.7489,-0.7489,-0.2094
0.6996,-0.6996,-0.2732
0.6495,-0.6495,-0.3324
0.5994,-0.5994,-0.4033
0.5492,-0.5492,-0.4731
0.4997,-0.4997,-0.5474
0.4496,-0.4496,-0.6374
0.3994,-0.3994,-0.7208
0.3499,-0.3499,-0.8201
0.299,-0.299,-0.9514
0.2501,-0.2501,-1.0907
0.1994,-0.1994,-1.2749
0.1503,-0.1503,-1.504
0.1012,-0.1012,-1.8994
0.0763,-0.0763,-2.1948
0.0515,-0.0515,-2.5939
0.0271,-0.0271,-3.366
0.0135,-0.0135,-4.3236
0,0,-3.2034
0.0122,0.0122,0.9707
0.0251,0.0251,1.007
0.051,0.051,0.8309
0.0755,0.0755,0.6932
0.1,0.1,0.5882
0.1504,0.1504,0.4354
0.2004,0.2004,0.3363
0.2501,0.2501,0.273
0.3002,0.3002,0.226
0.3507,0.3507,0.1877
0.4,0.4,0.1619
0.4503,0.4503,0.1354
0.5,0.5,0.1215
0.5506,0.5506,0.1074
0.5997,0.5997,0.10003
0.6502,0.6502,0.089
0.7003,0.7003,0.088
0.7497,0.7497,0.0865
0.7998,0.7998,0.0966
0.8503,0.8503,0.0909
0.9,0.9,0.0767
0.9483,0.9483,0.1112
