X/C,X/C UR,CP
0.9489,-0.9489,0.0137
0.8993,-0.8993,-0.0366
0.85,-0.85,-0.1043
0.8003,-0.8003,-0.1651
0.7489,-0.7489,-0.229
0.6996,-0.6996,-0.2862
0.6495,-0.6495,-0.365
0.5994,-0.5994,-0.4195
0.5492,-0.5492,-0.4847
0.4997,-0.4997,-0.5662
0.4496,-0.4496,-0.654
0.3994,-0.3994,-0.7593
0.3499,-0.3499,-0.8496
0.299,-0.299,-0.9825
0.2501,-0.2501,-1.1279
0.1994,-0.1994,-1.3198
0.1503,-0.1503,-1.5529
0.1012,-0.1012,-1.9557
0.0763,-0.0763,-2.2818
0.0515,-0.0515,-2.7126
0.0271,-0.0271,-3.6013
0.0135,-0.0135,-4.9102
0,0,-3.8448
0.0122,0.0122,0.9083
0.0251,0.0251,0.9961
0.051,0.051,0.8429
0.0755,0.0755,0.701
0.1,0.1,0.5914
0.1504,0.1504,0.4324
0.2004,0.2004,0.3283
0.2501,0.2501,0.2536
0.3002,0.3002,0.2033
0.3507,0.3507,0.1677
0.4,0.4,0.1302
0.4503,0.4503,0.1189
0.5,0.5,0.0993
0.5506,0.5506,0.0838
0.5997,0.5997,0.0711
0.6502,0.6502,0.0516
0.7003,0.7003,0.0573
0.7497,0.7497,0.049
0.7998,0.7998,0.0473
0.8503,0.8503,0.0364
0.9,0.9,0.0299
0.9483,0.9483,0.0435
