X/C,X/C UR,CP
0.9489,-0.9489,0.0827
0.8993,-0.8993,0.0079
0.85,-0.85,-0.0631
0.8003,-0.8003,-0.128
0.7489,-0.7489,-0.1926
0.6996,-0.6996,-0.2473
0.6495,-0.6495,-0.3128
0.5994,-0.5994,-0.3633
0.5492,-0.5492,-0.4235
0.4997,-0.4997,-0.496
0.4496,-0.4496,-0.5654
0.3994,-0.3994,-0.6454
0.3499,-0.3499,-0.7395
0.299,-0.299,-0.8429
0.2501,-0.2501,-0.9571
0.1994,-0.1994,-1.1102
0.1503,-0.1503,-1.2963
0.1012,-0.1012,-1.6063
0.0763,-0.0763,-1.8308
0.0515,-0.0515,-2.1198
0.0271,-0.0271,-2.6757
0.0135,-0.0135,-3.2837
0,0,-1.8247
0.0122,0.0122,1.0202
0.0251,0.0251,0.9383
0.051,0.051,0.7082
0.0755,0.0755,0.5578
0.1,0.1,0.4534
0.1504,0.1504,0.3115
0.2004,0.2004,0.2253
0.2501,0.2501,0.1704
0.3002,0.3002,0.1361
0.3507,0.3507,0.1064
0.4,0.4,0.0885
0.4503,0.4503,0.0753
0.5,0.5,0.0639
0.5506,0.5506,0.0587
0.5997,0.5997,0.0575
0.6502,0.6502,0.0413
0.7003,0.7003,0.0551
0.7497,0.7497,0.0582
0.7998,0.7998,0.0708
0.8503,0.8503,0.0744
0.9,0.9,0.0659
0.9483,0.9483,0.1134
