X/C,X/C UR,CP
0.9489,-0.9489,0.1015
0.8993,-0.8993,0.0684
0.85,-0.85,0.0352
0.8003,-0.8003,0.0156
0.7489,-0.7489,-0.0084
0.6996,-0.6996,-0.0257
0.6495,-0.6495,-0.0421
0.5994,-0.5994,-0.051
0.5492,-0.5492,-0.0619
0.4997,-0.4997,-0.0816
0.4496,-0.4496,-0.087
0.3994,-0.3994,-0.0951
0.3499,-0.3499,-0.0965
0.299,-0.299,-0.0964
0.2501,-0.2501,-0.0868
0.1994,-0.1994,-0.0685
0.1503,-0.1503,-0.0199
0.1012,-0.1012,0.0546
0.0763,-0.0763,0.1165
0.0515,-0.0515,0.2602
0.0271,-0.0271,0.4752
0.0135,-0.0135,0.7452
0,0,0.4837
0.0122,0.0122,-1.2235
0.0251,0.0251,-1.1796
0.051,0.051,-1.0658
0.0755,0.0755,-0.9597
0.1,0.1,-0.8924
0.1504,0.1504,-0.7817
0.2004,0.2004,-0.6904
0.2501,0.2501,-0.6168
0.3002,0.3002,-0.5477
0.3507,0.3507,-0.4885
0.4,0.4,-0.4347
0.4503,0.4503,-0.381
0.5,0.5,-0.342
0.5506,0.5506,-0.2958
0.5997,0.5997,-0.2501
0.6502,0.6502,-0.2192
0.7003,0.7003,-0.169
0.7497,0.7497,-0.1244
0.7998,0.7998,-0.0743
0.8503,0.8503,-0.0342
0.9,0.9,0.0123
0.9483,0.9483,0.0944
