X/C,X/C UR,CP
0.9489,-0.9489,0.0832
0.8993,-0.8993,0.0195
0.85,-0.85,-0.0358
0.8003,-0.8003,-0.085
0.7489,-0.7489,-0.1343
0.6996,-0.6996,-0.1744
0.6495,-0.6495,-0.2191
0.5994,-0.5994,-0.2577
0.5492,-0.5492,-0.3001
0.4997,-0.4997,-0.3476
0.4496,-0.4496,-0.3902
0.3994,-0.3994,-0.4454
0.3499,-0.3499,-0.4972
0.299,-0.299,-0.556
0.2501,-0.2501,-0.613
0.1994,-0.1994,-0.6982
0.1503,-0.1503,-0.7696
0.1012,-0.1012,-0.8944
0.0763,-0.0763,-0.9719
0.0515,-0.0515,-1.0256
0.0271,-0.0271,-1.1147
0.0135,-0.0135,-1.1464
0,0,0.5171
0.0122,0.0122,0.7485
0.0251,0.0251,0.4681
0.051,0.051,0.2106
0.0755,0.0755,0.103
0.1,0.1,0.0276
0.1504,0.1504,-0.0614
0.2004,0.2004,-0.102
0.2501,0.2501,-0.1111
0.3002,0.3002,-0.1158
0.3507,0.3507,-0.1212
0.4,0.4,-0.1147
0.4503,0.4503,-0.1005
0.5,0.5,-0.0969
0.5506,0.5506,-0.088
0.5997,0.5997,-0.07
0.6502,0.6502,-0.0656
0.7003,0.7003,-0.0374
0.7497,0.7497,-0.0197
0.7998,0.7998,0.0085
0.8503,0.8503,0.027
0.9,0.9,0.0361
0.9483,0.9483,0.1015
