X/C,X/C UR,CP
0.9489,-0.9489,0.0334
0.8993,-0.8993,-0.0325
0.85,-0.85,-0.1292
0.8003,-0.8003,-0.1775
0.7489,-0.7489,-0.25
0.6996,-0.6996,-0.3107
0.6495,-0.6495,-0.3806
0.5994,-0.5994,-0.4396
0.5492,-0.5492,-0.5111
0.4997,-0.4997,-0.5931
0.4496,-0.4496,-0.6722
0.3994,-0.3994,-0.762
0.3499,-0.3499,-0.8693
0.299,-0.299,-1.0135
0.2501,-0.2501,-1.1624
0.1994,-0.1994,-1.3694
0.1503,-0.1503,-1.622
0.1012,-0.1012,-2.0656
0.0763,-0.0763,-2.4185
0.0515,-0.0515,-2.8741
0.0271,-0.0271,-3.9343
0.0135,-0.0135,-5.1041
0,0,-4.2707
0.0122,0.0122,0.8774
0.0251,0.0251,1.0202
0.051,0.051,0.899
0.0755,0.0755,0.7692
0.1,0.1,0.6627
0.1504,0.1504,0.5066
0.2004,0.2004,0.3995
0.2501,0.2501,0.3263
0.3002,0.3002,0.2734
0.3507,0.3507,0.2318
0.4,0.4,0.1959
0.4503,0.4503,0.1719
0.5,0.5,0.1413
0.5506,0.5506,0.1256
0.5997,0.5997,0.1087
0.6502,0.6502,0.0772
0.7003,0.7003,0.088
0.7497,0.7497,0.0771
0.7998,0.7998,0.082
0.8503,0.8503,0.0676
0.9,0.9,0.034
0.9483,0.9483,0.0698
