X/C,X/C UR,CP
0.9489,-0.9489,0.0923
0.8993,-0.8993,0.0404
0.85,-0.85,-0.0015
0.8003,-0.8003,-0.0408
0.7489,-0.7489,-0.0766
0.6996,-0.6996,-0.104
0.6495,-0.6495,-0.1321
0.5994,-0.5994,-0.1568
0.5492,-0.5492,-0.1791
0.4997,-0.4997,-0.2139
0.4496,-0.4496,-0.293
0.3994,-0.3994,-0.2669
0.3499,-0.3499,-0.2924
0.299,-0.299,-0.3234
0.2501,-0.2501,-0.3396
0.1994,-0.1994,-0.3674
0.1503,-0.1503,-0.3686
0.1012,-0.1012,-0.3764
0.0763,-0.0763,-0.3731
0.0515,-0.0515,-0.3015
0.0271,-0.0271,-0.1944
0.0135,-0.0135,0.0178
0,0,1.016
0.0122,0.0122,0.0086
0.0251,0.0251,-0.2145
0.051,0.051,-0.349
0.0755,0.0755,-0.376
0.1,0.1,-0.3928
0.1504,0.1504,-0.4007
0.2004,0.2004,-0.3816
0.2501,0.2501,-0.3534
0.3002,0.3002,-0.3301
0.3507,0.3507,-0.302
0.4,0.4,-0.2734
0.4503,0.4503,-0.2431
0.5,0.5,-0.2202
0.5506,0.5506,-0.1919
0.5997,0.5997,-0.1631
0.6502,0.6502,-0.1456
0.7003,0.7003,-0.1083
0.7497,0.7497,-0.079
0.7998,0.7998,-0.0405
0.8503,0.8503,-0.0064
0.9,0.9,0.0207
0.9483,0.9483,0.0961
