X/C,X/C UR,CP
0.9489,-0.9489,0.0974
0.8993,-0.8993,0.0553
0.85,-0.85,0.0151
0.8003,-0.8003,-0.0132
0.7489,-0.7489,-0.0388
0.6996,-0.6996,-0.0622
0.6495,-0.6495,-0.087
0.5994,-0.5994,-0.1027
0.5492,-0.5492,-0.1169
0.4997,-0.4997,-0.146
0.4496,-0.4496,-0.16
0.3994,-0.3994,-0.178
0.3499,-0.3499,-0.1927
0.299,-0.299,-0.2042
0.2501,-0.2501,-0.2102
0.1994,-0.1994,-0.2138
0.1503,-0.1503,-0.1826
0.1012,-0.1012,-0.1504
0.0763,-0.0763,-0.1036
0.0515,-0.0515,0.0013
0.0271,-0.0271,0.1816
0.0135,-0.0135,0.441
0,0,0.8994
0.0122,0.0122,-0.55
0.0251,0.0251,-0.666
0.051,0.051,-0.6879
0.0755,0.0755,-0.6521
0.1,0.1,-0.6374
0.1504,0.1504,-0.5855
0.2004,0.2004,-0.5369
0.2501,0.2501,-0.4842
0.3002,0.3002,-0.4324
0.3507,0.3507,-0.3939
0.4,0.4,-0.3526
0.4503,0.4503,-0.3101
0.5,0.5,-0.2796
0.5506,0.5506,-0.2401
0.5997,0.5997,-0.2052
0.6502,0.6502,-0.1816
0.7003,0.7003,-0.1349
0.7497,0.7497,-0.0971
0.7998,0.7998,-0.057
0.8503,0.8503,-0.0201
0.9,0.9,0.0187
0.9483,0.9483,0.0966
