X/C,X/C UR,CP
0.9489,-0.9489,0.0849
0.8993,-0.8993,0.0096
0.85,-0.85,-0.0604
0.8003,-0.8003,-0.1196
0.7489,-0.7489,-0.1793
0.6996,-0.6996,-0.2326
0.6495,-0.6495,-0.2881
0.5994,-0.5994,-0.3441
0.5492,-0.5492,-0.4003
0.4997,-0.4997,-0.4677
0.4496,-0.4496,-0.5284
0.3994,-0.3994,-0.6135
0.3499,-0.3499,-0.6864
0.299,-0.299,-0.78
0.2501,-0.2501,-0.8814
0.1994,-0.1994,-1.0323
0.1503,-0.1503,-1.1805
0.1012,-0.1012,-1.4456
0.0763,-0.0763,-1.6384
0.0515,-0.0515,-1.879
0.0271,-0.0271,-2.3189
0.0135,-0.0135,-2.7837
0,0,-1.1871
0.0122,0.0122,1.0197
0.0251,0.0251,0.8766
0.051,0.051,0.6278
0.0755,0.0755,0.4822
0.1,0.1,0.3793
0.1504,0.1504,0.2464
0.2004,0.2004,0.1612
0.2501,0.2501,0.1185
0.3002,0.3002,0.0886
0.3507,0.3507,0.0614
0.4,0.4,0.043
0.4503,0.4503,0.0423
0.5,0.5,0.0311
0.5506,0.5506,0.0285
0.5997,0.5997,0.0303
0.6502,0.6502,0.0238
0.7003,0.7003,0.0362
0.7497,0.7497,0.0444
0.7998,0.7998,0.0588
0.8503,0.8503,0.0619
0.9,0.9,0.0593
0.9483,0.9483,0.1114
