X/C,X/C UR,CP
0.9489,-0.9489,0.0859
0.8993,-0.8993,0.0477
0.85,-0.85,0.001
0.8003,-0.8003,-0.0217
0.7489,-0.7489,-0.0506
0.6996,-0.6996,-0.0783
0.6495,-0.6495,-0.1007
0.5994,-0.5994,-0.1171
0.5492,-0.5492,-0.1325
0.4997,-0.4997,-0.1595
0.4496,-0.4496,-0.1765
0.3994,-0.3994,-0.1944
0.3499,-0.3499,-0.2058
0.299,-0.299,-0.2202
0.2501,-0.2501,-0.2107
0.1994,-0.1994,-0.2281
0.1503,-0.1503,-0.1995
0.1012,-0.1012,-0.1644
0.0763,-0.0763,-0.1157
0.0515,-0.0515,-0.0055
0.0271,-0.0271,0.183
0.0135,-0.0135,0.4542
0,0,0.8863
0.0122,0.0122,-0.5737
0.0251,0.0251,-0.7131
0.051,0.051,-0.7318
0.0755,0.0755,-0.6941
0.1,0.1,-0.6721
0.1504,0.1504,-0.6225
0.2004,0.2004,-0.5653
0.2501,0.2501,-0.5053
0.3002,0.3002,-0.4574
0.3507,0.3507,-0.4169
0.4,0.4,-0.3793
0.4503,0.4503,-0.3355
0.5,0.5,-0.301
0.5506,0.5506,-0.2623
0.5997,0.5997,-0.2261
0.6502,0.6502,-0.2064
0.7003,0.7003,-0.1561
0.7497,0.7497,-0.1145
0.7998,0.7998,-0.0698
0.8503,0.8503,-0.0343
0.9,0.9,-0.003
0.9483,0.9483,0.0849
