X/C,X/C UR,CP
0.9489,-0.9489,0.0956
0.8993,-0.8993,0.0281
0.85,-0.85,-0.0276
0.8003,-0.8003,-0.0767
0.7489,-0.7489,-0.1219
0.6996,-0.6996,-0.1629
0.6495,-0.6495,-0.2053
0.5994,-0.5994,-0.2397
0.5492,-0.5492,-0.2816
0.4997,-0.4997,-0.3291
0.4496,-0.4496,-0.3722
0.3994,-0.3994,-0.4268
0.3499,-0.3499,-0.4748
0.299,-0.299,-0.5367
0.2501,-0.2501,-0.5903
0.1994,-0.1994,-0.675
0.1503,-0.1503,-0.7403
0.1012,-0.1012,-0.8589
0.0763,-0.0763,-0.9394
0.0515,-0.0515,-0.9846
0.0271,-0.0271,-1.1013
0.0135,-0.0135,-1.128
0,0,0.5256
0.0122,0.0122,0.7422
0.0251,0.0251,0.4629
0.051,0.051,0.1968
0.0755,0.0755,0.1051
0.1,0.1,0.03
0.1504,0.1504,-0.0525
0.2004,0.2004,-0.0913
0.2501,0.2501,-0.1008
0.3002,0.3002,-0.108
0.3507,0.3507,-0.1085
0.4,0.4,-0.1047
0.4503,0.4503,-0.0916
0.5,0.5,-0.0854
0.5506,0.5506,-0.0752
0.5997,0.5997,-0.058
0.6502,0.6502,-0.0567
0.7003,0.7003,-0.031
0.7497,0.7497,-0.0121
0.7998,0.7998,0.0118
0.8503,0.8503,0.0312
0.9,0.9,0.0441
0.9483,0.9483,0.1099
