X/C,X/C UR,CP
0.9489,-0.9489,0.087
0.8993,-0.8993,0.0152
0.85,-0.85,-0.0551
0.8003,-0.8003,-0.1189
0.7489,-0.7489,-0.1884
0.6996,-0.6996,-0.243
0.6495,-0.6495,-0.3056
0.5994,-0.5994,-0.3646
0.5492,-0.5492,-0.4291
0.4997,-0.4997,-0.5032
0.4496,-0.4496,-0.5841
0.3994,-0.3994,-0.6591
0.3499,-0.3499,-0.7595
0.299,-0.299,-0.8691
0.2501,-0.2501,-0.999
0.1994,-0.1994,-1.1692
0.1503,-0.1503,-1.3616
0.1012,-0.1012,-1.7081
0.0763,-0.0763,-1.9649
0.0515,-0.0515,-2.2957
0.0271,-0.0271,-2.9842
0.0135,-0.0135,-3.6981
0,0,-2.4197
0.0122,0.0122,1.0067
0.0251,0.0251,0.9798
0.051,0.051,0.7709
0.0755,0.0755,0.6255
0.1,0.1,0.5194
0.1504,0.1504,0.3703
0.2004,0.2004,0.2807
0.2501,0.2501,0.2245
0.3002,0.3002,0.1866
0.3507,0.3507,0.1531
0.4,0.4,0.1366
0.4503,0.4503,0.1147
0.5,0.5,0.1022
0.5506,0.5506,0.0932
0.5997,0.5997,0.0885
0.6502,0.6502,0.0726
0.7003,0.7003,0.0809
0.7497,0.7497,0.079
0.7998,0.7998,0.0911
0.8503,0.8503,0.0888
0.9,0.9,0.0789
0.9483,0.9483,0.1172
