X/C,X/C UR,CP
0.9489,-0.9489,0.0791
0.8993,-0.8993,0.0242
0.85,-0.85,-0.0292
0.8003,-0.8003,-0.0714
0.7489,-0.7489,-0.1132
0.6996,-0.6996,-0.149
0.6495,-0.6495,-0.1827
0.5994,-0.5994,-0.2127
0.5492,-0.5492,-0.2457
0.4997,-0.4997,-0.2879
0.4496,-0.4496,-0.3196
0.3994,-0.3994,-0.3601
0.3499,-0.3499,-0.3981
0.299,-0.299,-0.4393
0.2501,-0.2501,-0.4819
0.1994,-0.1994,-0.5362
0.1503,-0.1503,-0.5627
0.1012,-0.1012,-0.6295
0.0763,-0.0763,-0.668
0.0515,-0.0515,-0.638
0.0271,-0.0271,-0.6256
0.0135,-0.0135,-0.4913
0,0,0.9203
0.0122,0.0122,0.4194
0.0251,0.0251,0.1399
0.051,0.051,-0.0671
0.0755,0.0755,-0.1456
0.1,0.1,-0.1918
0.1504,0.1504,-0.2384
0.2004,0.2004,-0.2548
0.2501,0.2501,-0.2477
0.3002,0.3002,-0.2312
0.3507,0.3507,-0.2217
0.4,0.4,-0.2053
0.4503,0.4503,-0.1842
0.5,0.5,-0.17173
0.5506,0.5506,-0.1506
0.5997,0.5997,-0.1267
0.6502,0.6502,-0.1211
0.7003,0.7003,-0.0848
0.7497,0.7497,-0.0589
0.7998,0.7998,-0.0255
0.8503,0.8503,-0.0007
0.9,0.9,0.0149
0.9483,0.9483,0.0926
