X/C,X/C UR,CP
0.9489,-0.9489,0.0106
0.8993,-0.8993,-0.0513
0.85,-0.85,-0.1301
0.8003,-0.8003,-0.1985
0.7489,-0.7489,-0.2615
0.6996,-0.6996,-0.3278
0.6495,-0.6495,-0.3933
0.5994,-0.5994,-0.4562
0.5492,-0.5492,-0.5175
0.4997,-0.4997,-0.6051
0.4496,-0.4496,-0.6774
0.3994,-0.3994,-0.7847
0.3499,-0.3499,-0.8909
0.299,-0.299,-1.0256
0.2501,-0.2501,-1.1815
0.1994,-0.1994,-1.3933
0.1503,-0.1503,-1.6558
0.1012,-0.1012,-2.148
0.0763,-0.0763,-2.5215
0.0515,-0.0515,-3.0223
0.0271,-0.0271,-4.1257
0.0135,-0.0135,-5.4296
0,0,-4.7541
0.0122,0.0122,0.8219
0.0251,0.0251,1.0131
0.051,0.051,0.9276
0.0755,0.0755,0.8082
0.1,0.1,0.7081
0.1504,0.1504,0.5419
0.2004,0.2004,0.43
0.2501,0.2501,0.3582
0.3002,0.3002,0.3
0.3507,0.3507,0.2513
0.4,0.4,0.2045
0.4503,0.4503,0.1869
0.5,0.5,0.1536
0.5506,0.5506,0.1328
0.5997,0.5997,0.1115
0.6502,0.6502,0.0808
0.7003,0.7003,0.0821
0.7497,0.7497,0.0759
0.7998,0.7998,0.0718
0.8503,0.8503,0.0533
0.9,0.9,0.0136
0.9483,0.9483,0.0447
