X/C,X/C UR,CP
0.9489,-0.9489,-0.029
0.8993,-0.8993,-0.0792
0.85,-0.85,-0.1335
0.8003,-0.8003,-0.1892
0.7489,-0.7489,-0.2527
0.6996,-0.6996,-0.316
0.6495,-0.6495,-0.3707
0.5994,-0.5994,-0.4314
0.5492,-0.5492,-0.4959
0.4997,-0.4997,-0.5806
0.4496,-0.4496,-0.6529
0.3994,-0.3994,-0.7568
0.3499,-0.3499,-0.8721
0.299,-0.299,-1.0004
0.2501,-0.2501,-1.1317
0.1994,-0.1994,-1.3446
0.1503,-0.1503,-1.5735
0.1012,-0.1012,-2.0282
0.0763,-0.0763,-2.3524
0.0515,-0.0515,-2.606
0.0271,-0.0271,-3.7977
0.0135,-0.0135,-5.2471
0,0,-4.1337
0.0122,0.0122,0.8678
0.0251,0.0251,0.9983
0.051,0.051,0.8713
0.0755,0.0755,0.7387
0.1,0.1,0.632
0.1504,0.1504,0.4605
0.2004,0.2004,0.3584
0.2501,0.2501,0.2786
0.3002,0.3002,0.22
0.3507,0.3507,0.1789
0.4,0.4,0.1533
0.4503,0.4503,0.1329
0.5,0.5,0.0967
0.5506,0.5506,0.0943
0.5997,0.5997,0.076
0.6502,0.6502,0.0558
0.7003,0.7003,0.0443
0.7497,0.7497,0.0391
0.7998,0.7998,0.0359
0.8503,0.8503,0.0213
0.9,0.9,0.002
0.9483,0.9483,0.0136
