X/C,X/C UR,CP
0.9489,-0.9489,0.0815
0.8993,-0.8993,0.006
0.85,-0.85,-0.0677
0.8003,-0.8003,-0.1342
0.7489,-0.7489,-0.2018
0.6996,-0.6996,-0.2624
0.6495,-0.6495,-0.3206
0.5994,-0.5994,-0.3794
0.5492,-0.5492,-0.4488
0.4997,-0.4997,-0.5247
0.4496,-0.4496,-0.6029
0.3994,-0.3994,-0.6922
0.3499,-0.3499,-0.7767
0.299,-0.299,-0.8963
0.2501,-0.2501,-1.031
0.1994,-0.1994,-1.2066
0.1503,-0.1503,-1.4076
0.1012,-0.1012,-1.7641
0.0763,-0.0763,-2.0343
0.0515,-0.0515,-2.3762
0.0271,-0.0271,-3.0488
0.0135,-0.0135,-3.8248
0,0,-2.4638
0.0122,0.0122,1.0043
0.0251,0.0251,0.9874
0.051,0.051,0.7746
0.0755,0.0755,0.6326
0.1,0.1,0.5292
0.1504,0.1504,0.3775
0.2004,0.2004,0.2857
0.2501,0.2501,0.2245
0.3002,0.3002,0.1881
0.3507,0.3507,0.1531
0.4,0.4,0.125
0.4503,0.4503,0.1134
0.5,0.5,0.0989
0.5506,0.5506,0.0855
0.5997,0.5997,0.0833
0.6502,0.6502,0.0691
0.7003,0.7003,0.0715
0.7497,0.7497,0.0744
0.7998,0.7998,0.0857
0.8503,0.8503,0.083
0.9,0.9,0.0712
0.9483,0.9483,0.1138
