X/C,X/C UR,CP
0.9489,-0.9489,0.0475
0.8993,-0.8993,-0.0178
0.85,-0.85,-0.0852
0.8003,-0.8003,-0.146
0.7489,-0.7489,-0.2153
0.6996,-0.6996,-0.2626
0.6495,-0.6495,-0.321
0.5994,-0.5994,-0.33846
0.5492,-0.5492,-0.4546
0.4997,-0.4997,-0.5354
0.4496,-0.4496,-0.6044
0.3994,-0.3994,-0.6937
0.3499,-0.3499,-0.7865
0.299,-0.299,-0.8996
0.2501,-0.2501,-1.0278
0.1994,-0.1994,-1.1922
0.1503,-0.1503,-1.3903
0.1012,-0.1012,-1.7245
0.0763,-0.0763,-1.9884
0.0515,-0.0515,-2.3162
0.0271,-0.0271,-2.9668
0.0135,-0.0135,-3.8803
0,0,-2.2938
0.0122,0.0122,0.9863
0.0251,0.0251,0.9543
0.051,0.051,0.7384
0.0755,0.0755,0.5914
0.1,0.1,0.4774
0.1504,0.1504,0.3276
0.2004,0.2004,0.2294
0.2501,0.2501,0.1686
0.3002,0.3002,0.1311
0.3507,0.3507,0.0989
0.4,0.4,0.0751
0.4503,0.4503,0.0627
0.5,0.5,0.0459
0.5506,0.5506,0.0397
0.5997,0.5997,0.0413
0.6502,0.6502,0.0389
0.7003,0.7003,0.0389
0.7497,0.7497,0.303
0.7998,0.7998,0.0416
0.8503,0.8503,0.0402
0.9,0.9,0.0335
0.9483,0.9483,0.0697
