X/C,X/C UR,CP
0.9489,-0.9489,-0.0127
0.8993,-0.8993,-0.0744
0.85,-0.85,-0.1434
0.8003,-0.8003,-0.2061
0.7489,-0.7489,-0.281
0.6996,-0.6996,-0.3342
0.6495,-0.6495,-0.3923
0.5994,-0.5994,-0.4524
0.5492,-0.5492,-0.5232
0.4997,-0.4997,-0.605
0.4496,-0.4496,-0.6809
0.3994,-0.3994,-0.7824
0.3499,-0.3499,-0.8949
0.299,-0.299,-1.10327
0.2501,-0.2501,-1.1957
0.1994,-0.1994,-1.4195
0.1503,-0.1503,-1.7119
0.1012,-0.1012,-2.2113
0.0763,-0.0763,-2.596
0.0515,-0.0515,-3.1359
0.0271,-0.0271,-4.3538
0.0135,-0.0135,-5.8092
0,0,-5.4206
0.0122,0.0122,0.7504
0.0251,0.0251,1.012
0.051,0.051,0.9502
0.0755,0.0755,0.8371
0.1,0.1,0.7361
0.1504,0.1504,0.5778
0.2004,0.2004,0.467
0.2501,0.2501,0.3814
0.3002,0.3002,0.3238
0.3507,0.3507,0.2667
0.4,0.4,0.2283
0.4503,0.4503,0.1957
0.5,0.5,0.1634
0.5506,0.5506,0.1379
0.5997,0.5997,0.1248
0.6502,0.6502,0.0843
0.7003,0.7003,0.0858
0.7497,0.7497,0.0633
0.7998,0.7998,0.067
0.8503,0.8503,0.0419
0.9,0.9,-0.0059
0.9483,0.9483,0.024
