X/C,X/C UR,CP
0.9489,-0.9489,0.0912
0.8993,-0.8993,0.0401
0.85,-0.85,-0.009
0.8003,-0.8003,-0.0427
0.7489,-0.7489,-0.0807
0.6996,-0.6996,-0.1102
0.6495,-0.6495,-0.1359
0.5994,-0.5994,-0.1573
0.5492,-0.5492,-0.1834
0.4997,-0.4997,-0.2222
0.4496,-0.4496,-0.2391
0.3994,-0.3994,-0.2698
0.3499,-0.3499,-0.2962
0.299,-0.299,-0.3224
0.2501,-0.2501,-0.342
0.1994,-0.1994,-0.3751
0.1503,-0.1503,-0.368
0.1012,-0.1012,-0.3818
0.0763,-0.0763,-0.369
0.0515,-0.0515,-0.2916
0.0271,-0.0271,-0.1589
0.0135,-0.0135,0.0369
0,0,1.0282
0.0122,0.0122,-0.0137
0.0251,0.0251,-0.2422
0.051,0.051,-0.3723
0.0755,0.0755,-0.4015
0.1,0.1,-0.4153
0.1504,0.1504,-0.4157
0.2004,0.2004,-0.4044
0.2501,0.2501,-0.3674
0.3002,0.3002,-0.3367
0.3507,0.3507,-0.3141
0.4,0.4,-0.2836
0.4503,0.4503,-0.2503
0.5,0.5,-0.2355
0.5506,0.5506,-0.2017
0.5997,0.5997,-0.1696
0.6502,0.6502,-0.1532
0.7003,0.7003,-0.118
0.7497,0.7497,-0.0866
0.7998,0.7998,-0.0451
0.8503,0.8503,-0.0168
0.9,0.9,0.0143
0.9483,0.9483,0.0944
