X/C,X/C UR,CP
0.9489,-0.9489,0.0882
0.8993,-0.8993,0.0133
0.85,-0.85,-0.0661
0.8003,-0.8003,0.1374
0.7489,-0.7489,-0.2076
0.6996,-0.6996,-0.2693
0.6495,-0.6495,-0.3439
0.5994,-0.5994,-0.4118
0.5492,-0.5492,-0.4879
0.4997,-0.4997,-0.5738
0.4496,-0.4496,-0.6614
0.3994,-0.3994,-0.7698
0.3499,-0.3499,-0.8746
0.299,-0.299,-1.0149
0.2501,-0.2501,-1.172
0.1994,-0.1994,-1.3959
0.1503,-0.1503,-1.6673
0.1012,-0.1012,-2.1211
0.0763,-0.0763,-2.4767
0.0515,-0.0515,-2.96
0.0271,-0.0271,-3.989
0.0135,-0.0135,-5.234
0,0,-4.6572
0.0122,0.0122,0.8442
0.0251,0.0251,1.016
0.051,0.051,0.9206
0.0755,0.0755,0.7924
0.1,0.1,0.6895
0.1504,0.1504,0.5314
0.2004,0.2004,0.4314
0.2501,0.2501,0.3586
0.3002,0.3002,0.306
0.3507,0.3507,0.2623
0.4,0.4,0.2279
0.4503,0.4503,0.2063
0.5,0.5,0.1788
0.5506,0.5506,0.1634
0.5997,0.5997,0.1488
0.6502,0.6502,0.1253
0.7003,0.7003,0.1268
0.7497,0.7497,0.1142
0.7998,0.7998,0.1139
0.8503,0.8503,0.1053
0.9,0.9,0.0821
0.9483,0.9483,0.11
