X/C,X/C UR,CP
0.9489,-0.9489,0.095
0.8993,-0.8993,0.0365
0.85,-0.85,-0.0107
0.8003,-0.8003,-0.0531
0.7489,-0.7489,-0.0969
0.6996,-0.6996,-0.1335
0.6495,-0.6495,-0.163
0.5994,-0.5994,-0.195
0.5492,-0.5492,-0.2252
0.4997,-0.4997,-0.2691
0.4496,-0.4496,-0.2982
0.3994,-0.3994,-0.338
0.3499,-0.3499,-0.3827
0.299,-0.299,-0.4217
0.2501,-0.2501,-0.4574
0.1994,-0.1994,-0.5115
0.1503,-0.1503,-0.5406
0.1012,-0.1012,-0.6033
0.0763,-0.0763,-0.6368
0.0515,-0.0515,-0.6135
0.0271,-0.0271,-0.6044
0.0135,-0.0135,-0.4819
0,0,0.92
0.0122,0.0122,0.4353
0.0251,0.0251,0.1514
0.051,0.051,-0.0487
0.0755,0.0755,-0.1278
0.1,0.1,-0.1733
0.1504,0.1504,-0.2152
0.2004,0.2004,-0.232
0.2501,0.2501,-0.2237
0.3002,0.3002,-0.2143
0.3507,0.3507,-0.2059
0.4,0.4,-0.184
0.4503,0.4503,-0.1614
0.5,0.5,-0.1527
0.5506,0.5506,-0.1304
0.5997,0.5997,-0.1094
0.6502,0.6502,-0.0971
0.7003,0.7003,-0.0712
0.7497,0.7497,-0.0441
0.7998,0.7998,-0.0099
0.8503,0.8503,0.0158
0.9,0.9,0.0345
0.9483,0.9483,0.1035
