X/C,X/C UR,CP
0.9489,-0.9489,-0.4557
0.8993,-0.8993,-0.5146
0.85,-0.85,-0.577
0.8003,-0.8003,-0.6068
0.7489,-0.7489,-0.6616
0.6996,-0.6996,-0.7163
0.6495,-0.6495,-0.632
0.5994,-0.5994,-0.8238
0.5492,-0.5492,-0.8559
0.4997,-0.4997,-0.8831
0.4496,-0.4496,-0.8365
0.3994,-0.3994,-0.9418
0.3499,-0.3499,-0.9376
0.299,-0.299,-1.0028
0.2501,-0.2501,-0.9632
0.1994,-0.1994,-1.0081
0.1503,-0.1503,-0.9969
0.1012,-0.1012,-1.0234
0.0763,-0.0763,-1.0484
0.0515,-0.0515,-1.0392
0.0271,-0.0271,-2.0904
0.0135,-0.0135,-1.5423
0,0,-1.9477
0.0122,0.0122,0.963
0.0251,0.0251,0.9983
0.051,0.051,0.844
0.0755,0.0755,0.7209
0.1,0.1,0.6071
0.1504,0.1504,0.4522
0.2004,0.2004,0.37
0.2501,0.2501,0.2676
0.3002,0.3002,0.2406
0.3507,0.3507,0.1785
0.4,0.4,0.0789
0.4503,0.4503,0.1461
0.5,0.5,0.0577
0.5506,0.5506,0.0226
0.5997,0.5997,0.0049
0.6502,0.6502,-0.303
0.7003,0.7003,-0.0383
0.7497,0.7497,-0.0668
0.7998,0.7998,-0.0686
0.8503,0.8503,-0.1278
0.9,0.9,-0.2198
0.9483,0.9483,-0.2208
