X/C,X/C UR,CP
0.9489,-0.9489,0.07555
0.8993,-0.8993,-0.0016
0.85,-0.85,-0.0772
0.8003,-0.8003,-0.1371
0.7489,-0.7489,-0.2004
0.6996,-0.6996,-0.271
0.6495,-0.6495,-0.3186
0.5994,-0.5994,-0.3709
0.5492,-0.5492,-0.4299
0.4997,-0.4997,-0.498
0.4496,-0.4496,-0.5685
0.3994,-0.3994,-0.6502
0.3499,-0.3499,-0.7402
0.299,-0.299,-0.8391
0.2501,-0.2501,-0.9581
0.1994,-0.1994,-1.1157
0.1503,-0.1503,-1.2929
0.1012,-0.1012,-1.6042
0.0763,-0.0763,-1.8368
0.0515,-0.0515,-2.1056
0.0271,-0.0271,-2.7039
0.0135,-0.0135,-3.2717
0,0,-1.7753
0.0122,0.0122,1.0132
0.0251,0.0251,0.936
0.051,0.051,0.7
0.0755,0.0755,0.557
0.1,0.1,0.448
0.1504,0.1504,0.3009
0.2004,0.2004,0.2146
0.2501,0.2501,0.162
0.3002,0.3002,0.1309
0.3507,0.3507,0.0957
0.4,0.4,0.0795
0.4503,0.4503,0.0675
0.5,0.5,0.0588
0.5506,0.5506,0.0493
0.5997,0.5997,0.0471
0.6502,0.6502,0.028
0.7003,0.7003,0.0465
0.7497,0.7497,0.0504
0.7998,0.7998,0.0628
0.8503,0.8503,0.0625
0.9,0.9,0.0524
0.9483,0.9483,0.1078
