X/C,X/C UR,CP
0.9489,-0.9489,0.0752
0.8993,-0.8993,0.012
0.85,-0.85,-0.0609
0.8003,-0.8003,-0.1298
0.7489,-0.7489,-0.2005
0.6996,-0.6996,-0.2633
0.6495,-0.6495,-0.3384
0.5994,-0.5994,-0.396
0.5492,-0.5492,-0.4672
0.4997,-0.4997,-0.5563
0.4496,-0.4496,-0.6363
0.3994,-0.3994,-0.7436
0.3499,-0.3499,-0.8405
0.299,-0.299,-0.9648
0.2501,-0.2501,-1.1224
0.1994,-0.1994,-1.3175
0.1503,-0.1503,-1.5703
0.1012,-0.1012,-1.9826
0.0763,-0.0763,-2.316
0.0515,-0.0515,-2.7462
0.0271,-0.0271,-3.6832
0.0135,-0.0135,-4.7335
0,0,-3.8403
0.0122,0.0122,0.9127
0.0251,0.0251,1.0208
0.051,0.051,0.8802
0.0755,0.0755,0.747
0.1,0.1,0.6428
0.1504,0.1504,0.4863
0.2004,0.2004,0.3855
0.2501,0.2501,0.3174
0.3002,0.3002,0.2775
0.3507,0.3507,0.2271
0.4,0.4,0.1954
0.4503,0.4503,0.179
0.5,0.5,0.1503
0.5506,0.5506,0.1408
0.5997,0.5997,0.1315
0.6502,0.6502,0.1037
0.7003,0.7003,0.1104
0.7497,0.7497,0.106
0.7998,0.7998,0.1108
0.8503,0.8503,0.102
0.9,0.9,0.0835
0.9483,0.9483,0.1121
