X/C,X/C UR,CP
0.9489,-0.9489,0.0659
0.8993,-0.8993,0.0226
0.85,-0.85,-0.0185
0.8003,-0.8003,-0.0453
0.7489,-0.7489,-0.0758
0.6996,-0.6996,-0.0967
0.6495,-0.6495,-0.1142
0.5994,-0.5994,-0.1422
0.5492,-0.5492,-0.1511
0.4997,-0.4997,-0.1856
0.4496,-0.4496,-0.197
0.3994,-0.3994,-0.2168
0.3499,-0.3499,-0.2281
0.299,-0.299,-0.2383
0.2501,-0.2501,-0.2497
0.1994,-0.1994,-0.2551
0.1503,-0.1503,-0.2389
0.1012,-0.1012,-0.2026
0.0763,-0.0763,-0.1575
0.0515,-0.0515,-0.058
0.0271,-0.0271,0.1421
0.0135,-0.0135,0.4136
0,0,0.8827
0.0122,0.0122,-0.5644
0.0251,0.0251,-0.7164
0.051,0.051,-0.7149
0.0755,0.0755,-0.6978
0.1,0.1,-0.6659
0.1504,0.1504,-0.61
0.2004,0.2004,-0.5633
0.2501,0.2501,-0.5168
0.3002,0.3002,-0.4627
0.3507,0.3507,-0.4272
0.4,0.4,-0.3879
0.4503,0.4503,-0.3445
0.5,0.5,-0.3145
0.5506,0.5506,-0.2724
0.5997,0.5997,-0.2441
0.6502,0.6502,-0.2057
0.7003,0.7003,-0.1667
0.7497,0.7497,-0.1322
0.7998,0.7998,-0.0863
0.8503,0.8503,-0.0496
0.9,0.9,-0.0055
0.9483,0.9483,0.0699
