X/C,X/C UR,CP
0.9489,-0.9489,0.0933
0.8993,-0.8993,0.0475
0.85,-0.85,0.0123
0.8003,-0.8003,-0.0185
0.7489,-0.7489,-0.0481
0.6996,-0.6996,-0.0746
0.6495,-0.6495,-0.0983
0.5994,-0.5994,-0.1104
0.5492,-0.5492,-0.1273
0.4997,-0.4997,-0.1558
0.4496,-0.4496,-0.1699
0.3994,-0.3994,-0.187
0.3499,-0.3499,-0.2033
0.299,-0.299,-0.218
0.2501,-0.2501,-0.2161
0.1994,-0.1994,-0.2258
0.1503,-0.1503,-0.1956
0.1012,-0.1012,-0.1625
0.0763,-0.0763,-0.1183
0.0515,-0.0515,0.0036
0.0271,-0.0271,0.1979
0.0135,-0.0135,0.4392
0,0,0.8947
0.0122,0.0122,-0.5648
0.0251,0.0251,-0.6877
0.051,0.051,-0.7107
0.0755,0.0755,-0.6794
0.1,0.1,-0.6531
0.1504,0.1504,-0.6078
0.2004,0.2004,-0.5524
0.2501,0.2501,-0.4933
0.3002,0.3002,-0.4481
0.3507,0.3507,-0.4094
0.4,0.4,-0.364
0.4503,0.4503,-0.3215
0.5,0.5,-0.2914
0.5506,0.5506,-0.253
0.5997,0.5997,-0.2145
0.6502,0.6502,-0.1949
0.7003,0.7003,-0.1495
0.7497,0.7497,-0.1079
0.7998,0.7998,-0.0623
0.8503,0.8503,-0.0248
0.9,0.9,0.0068
0.9483,0.9483,0.0933
